NrRezerwacji IdPracownika NrDomku LiczbaDni
1 5 2 2
2 20 5 2
3 35 6 3
4 26 2 2
5 58 3 4
6 72 6 2
7 74 8 4
8 85 7 10
9 57 6 4
10 50 9 2
11 36 5 4
12 24 4 1
13 78 3 7
14 53 4 2
15 6 6 2
16 61 5 7
17 31 3 6
18 51 2 3
19 37 8 5
20 47 1 5
21 19 2 2
22 29 4 4
23 84 2 10
24 65 5 2
25 49 6 1
26 64 3 7
27 97 2 8
28 76 7 2
29 55 5 3
30 59 3 4
31 79 2 7
32 88 7 4
33 48 5 1
34 93 9 4
35 17 9 5
36 15 9 3
37 86 8 10
38 25 5 2
39 44 3 2
40 96 2 3
41 56 4 2
42 11 6 3
43 40 8 2
44 7 4 2
45 32 2 3
46 9 1 2
47 38 5 4
48 81 7 7
49 62 8 7
50 77 4 2
51 70 6 4
52 89 9 2
53 12 8 4
54 8 7 2
55 95 2 2
56 69 2 4
57 75 3 2
58 18 7 6
59 60 6 2
60 82 4 8
61 34 7 3
62 27 5 2
63 30 4 5
64 28 7 3
65 16 8 4
66 71 6 3
67 10 4 2
68 13 2 5
69 45 1 3
70 42 1 2
71 83 1 8
72 87 1 2
73 41 5 3
74 90 7 5
75 46 5 4
76 91 3 7
77 94 8 3
78 66 6 3
79 80 8 7
80 63 9 7
81 92 6 5
82 4 6 3
83 22 8 2
84 43 3 2
85 52 2 2
86 39 3 2
87 67 1 4
88 33 1 3
89 54 9 2
90 23 7 2
91 1 5 5
92 14 4 4
93 2 3 5
94 68 4 5
95 3 2 5
96 73 3 3
97 21 4 2
