NIP	firma
2394072755	ELINK
1599095267	ZONAN
5341884086	SENIN
1818291355	SZAMOT
1361555378	OSTOPOL
2869229213	KERN
5528435390	ZABER
2625657803	SUWAL
1871447797	OBOR
4241680809	WROCBUD4
3318203338	LUBLIN1
1524870307	NOTOM
1581329071	WRZESNIA1
3114182744	SZCZEBRZESZYN
3743661247	ZWIERZYNIEC
5185759244	BYTOM1
5229945534	TARNOR
5266741491	PIEKAR
1246489959	MIEDZYRZECZ
5418968184	SOSNEC
1165493421	LESZNO
4580185570	JELORA
2599394621	OLECKO
4531538788	TRZEBNICA
4458233905	WROCBUD1
4326751508	WROCBUD2
4761158900	WROCBUD3
4653095092	ZGORZELEC
3678947206	LUBLIN2
2245871126	OLSZTYN
5459753232	TARGOR
5514533376	BYTOM2
1820566794	WRZESNIA2
3783578981	LUBEX
1127056356	KONSBET
1278408463	REFAMUR
3866883575	KPICO
2138598159	METALL
2119268767	PETROLEUM
1433397952	BARTEX
3568004264	MURATOR
4779174699	FASO
3357631311	GAZPOL
2281651150	MAZUTEX
1939065269	KUSTMASZ
5115061689	BETON-STAL
4796841112	WARM S. A.
1617995032	RENOWATOR
2214740049	SZPULTEX
1620242236	WIET-IND
3579231044	BAZALT S. A.
6727559092	ANDROPOL SP. Z. O. O.
4956781088	FERMILAB
4715154852	NAFTO-GAZ
2581219876	TECH-MASZ
3345883725	ZACH-MET
5624201652	FAL-STAL
5581610439	JUSTPOL
3470453173	MASPOL
6758177505	WERTIX
