ozn	powiat	siedziba	rodzaj
CAL	aleksandrowski	Aleksandrow Kujawski	z
BAU	augustowski	Augustow	z
NBA	bartoszycki	Bartoszyce	z
SBE	bedzinski	Bedzin	z
EBE	belchatowski	Belchatow	z
LB	Biala Podlaska	Biala Podlaska	g
WBR	bialobrzeski	Bialobrzegi	z
ZBI	bialogardzki	Bialogard	z
BIA	bialostocki	Bialystok	z
LBI	bialski	Biala Podlaska	z
BI	Bialystok	Bialystok	g
BBI	bielski	Bielsk Podlaski	z
SBI	bielski	Bielsko-Biala	z
SB	Bielsko-Biala	Bielsko-Biala	g
SBL	bierunsko-ledzinski	Bierun	z
RBI	bieszczadzki	Ustrzyki Dolne	z
LBL	bilgorajski	Bilgoraj	z
KBC	bochenski	Bochnia	z
DBL	boleslawiecki	Boleslawiec	z
NBR	braniewski	Braniewo	z
CBR	brodnicki	Brodnica	z
OB	brzeski	Brzeg	z
KBR	brzeski	Brzesko	z
EBR	brzezinski	Brzeziny	z
RBR	brzozowski	Brzozow	z
TBU	buski	Busko Zdroj	z
CBY	bydgoski	Bydgoszcz	z
CB	Bydgoszcz	Bydgoszcz	g
SY	Bytom	Bytom	g
GBY	bytowski	Bytow	z
LC	Chelm	Chelm	g
CCH	chelminski	Chelmno	z
LCH	chelmski	Chelm	z
PCH	chodzieski	Chodziez	z
GCH	chojnicki	Chojnice	z
SH	Chorzow	Chorzow	g
ZCH	choszczenski	Choszczno	z
KCH	chrzanowski	Chrzanow	z
WCI	ciechanowski	Ciechanow	z
SCI	cieszynski	Cieszyn	z
PCT	czarnkowsko-trzcianecki	Czarnkow	z
SC	Czestochowa	Czestochowa	g
SCZ	czestochowski	Czestochowa	z
GCZ	czluchowski	Czluchow	z
SD	Dabrowa Gornicza	Dabrowa Gornicza	g
KDA	dabrowski	Dabrowa Tarnowska	z
RDE	debicki	Debica	z
ZDR	drawski	Drawsko Pomorskie	z
NDZ	dzialdowski	Dzialdowo	z
DDZ	dzierzoniowski	Dzierzoniow	z
NE	Elblag	Elblag	g
NEB	elblaski	Elblag	z
NEL	elcki	Elk	z
WG	garwolinski	Garwolin	z
GD	Gdansk	Gdansk	g
GDA	gdanski	Pruszcz Gdanski	z
GA	Gdynia	Gdynia	g
NGI	gizycki	Gizycko	z
SG	Gliwice	Gliwice	g
SGL	gliwicki	Gliwice	z
DGL	glogowski	Glogow	z
OGL	glubczycki	Glubczyce	z
PGN	gnieznienski	Gniezno	z
NGO	goldapski	Goldap	z
ZGL	goleniowski	Goleniow	z
CGD	golubsko-dobrzynski	Golub-Dobrzyn	z
KGR	gorlicki	Gorlice	z
DGR	gorowski	Gora	z
FG	Gorzow	Gorzow	g
FGW	gorzowski	Gorzow Wielkopolski	z
WGS	gostyninski	Gostynin	z
PGS	gostynski	Gostyn	z
BGR	grajewski	Grajewo	z
WGM	grodziski	Grodzisk Mazowiecki	z
PGO	grodziski	Grodzisk Wielkopolski	z
WGR	grojecki	Grojec	z
CG	Grudziadz	Grudziadz	g
CGR	grudziadzki	Grudziadz	z
ZGY	gryficki	Gryfice	z
ZGR	gryfinski	Gryfino	z
BHA	hajnowski	Hajnowka	z
LHR	hrubieszowski	Hrubieszow	z
NIL	ilawski	Ilawa	z
CIN	inowroclawski	Inowroclaw	z
LJA	janowski	Janow Lubelski	z
