DATA;PRZERWA NA OBIAD
2020-07-07;01:15
2020-07-08;01:15
2020-07-09;01:15
2020-07-10;02:00
2020-07-11;02:00
2020-07-12;01:30
2020-07-13;01:30
2020-07-14;01:30
2020-07-15;01:30
2020-07-16;01:00
2020-07-17;01:00
2020-07-18;01:00
2020-07-19;01:00
2020-07-20;01:20
2020-07-21;01:20
2020-07-22;01:20
2020-07-23;01:20
2020-07-24;01:30
2020-07-25;01:30
2020-07-26;01:30
2020-07-27;01:20
2020-07-28;01:20
2020-07-29;01:20
2020-07-30;01:15
2020-07-31;01:15
2020-08-01;01:15
2020-08-02;02:00
2020-08-03;02:00
2020-08-04;02:00
2020-08-05;02:00
2020-08-06;01:20
2020-08-07;01:20
2020-08-08;01:20
2020-08-09;01:20
2020-08-10;01:30
2020-08-11;01:30
2020-08-12;01:30
2020-08-13;01:30
2020-08-14;01:45
2020-08-15;01:45
2020-08-16;01:45
2020-08-17;01:15
2020-08-18;01:15
2020-08-19;01:15
2020-08-20;01:15
2020-08-21;01:15
2020-08-22;01:15
2020-08-23;01:15
2020-08-24;02:15
2020-08-25;02:15
2020-08-26;02:15
2020-08-27;01:30
2020-08-28;01:30
2020-08-29;01:30
2020-08-30;01:30
2020-08-31;01:30
2020-09-01;01:25
2020-09-02;01:25
2020-09-03;01:25
2020-09-04;01:25
