DATA;KOD_PRACOWNIKA;KOD_TOWARU;ILOSC
2020-09-01;P21;t13;4
2020-09-01;P10;t11;1
2020-09-01;P24;t17;5
2020-09-01;P16;t14;2
2020-09-01;P20;t6;4 
2020-09-01;P7;t17;2
2020-09-01;P19;t11;1
2020-09-01;P3;t9;1
2020-09-01;P6;t5;4
2020-09-01;P10;t3;3
2020-09-01;P16;t3;5
2020-09-01;P3;t12;2
2020-09-01;P12;t1;4
2020-09-01;P10;t17;1
2020-09-01;P18;t8;4
2020-09-01;P16;t7;1
2020-09-01;P16;t6;4
2020-09-01;P29;t7;3
2020-09-02;P26;t4;1
2020-09-02;P16;t18;4
2020-09-02;P6;t3;1
2020-09-02;P3;t17;4
2020-09-02;P12;t14;1
2020-09-02;P16;t18;3
2020-09-02;P20;t17;4
2020-09-02;P16;t1;3
2020-09-02;P17;t11;5
2020-09-02;P25;t19;1
2020-09-02;P27;t14;1
2020-09-02;P6;t16;3
2020-09-02;P4;t18;2
2020-09-02;P19;t4;2
2020-09-02;P16;t19;2
2020-09-02;P13;t18;1
2020-09-02;P1;t16;3
2020-09-02;P4;t1;3
2020-09-02;P11;t2;5
2020-09-02;P29;t16;3
2020-09-02;P22;t16;2
2020-09-02;P4;t4;2
2020-09-02;P10;t3;3
2020-09-02;P19;t3;4
2020-09-02;P22;t11;1
2020-09-02;P9;t18;3
2020-09-02;P20;t4;1
2020-09-02;P14;t12;3
2020-09-02;P14;t17;2
2020-09-02;P1;t7;2
2020-09-02;P5;t3;1
2020-09-02;P19;t15;5
2020-09-02;P7;t13;1
2020-09-02;P4;t11;5
2020-09-02;P20;t16;3
2020-09-02;P20;t14;3
2020-09-02;P1;t19;1
2020-09-02;P29;t14;1
2020-09-02;P19;t17;5
2020-09-02;P8;t9;1
2020-09-02;P17;t9;3
2020-09-02;P22;t5;1
2020-09-02;P25;t19;1
2020-09-02;P17;t6;1
2020-09-02;P27;t17;5
2020-09-02;P20;t17;2
2020-09-02;P3;t11;1
2020-09-02;P20;t9;5
2020-09-02;P20;t14;1
2020-09-02;P7;t18;4
2020-09-02;P4;t15;3
2020-09-03;P24;t14;2
2020-09-03;P10;t18;1
2020-09-03;P12;t16;4
2020-09-03;P1;t9;5
2020-09-03;P3;t6;2
2020-09-03;P7;t19;5
2020-09-03;P2;t3;2
2020-09-03;P5;t16;5
2020-09-03;P16;t3;1
2020-09-03;P29;t3;2
2020-09-03;P12;t13;4
2020-09-03;P16;t16;1
2020-09-03;P5;t13;3
2020-09-03;P21;t18;5
2020-09-03;P16;t17;1
2020-09-03;P2;t13;4
2020-09-03;P14;t9;5
2020-09-03;P22;t10;1
2020-09-03;P18;t16;1
2020-09-03;P4;t13;2
2020-09-03;P26;t11;1
2020-09-04;P22;t5;5
2020-09-04;P12;t18;4
2020-09-04;P14;t12;4
2020-09-04;P24;t15;4
2020-09-04;P16;t6;5
2020-09-04;P9;t10;3
2020-09-04;P11;t6;2
2020-09-04;P20;t13;2
2020-09-04;P29;t19;1
2020-09-04;P4;t5;2
2020-09-04;P12;t3;3
2020-09-04;P26;t4;5
2020-09-04;P3;t19;4
2020-09-04;P27;t2;1
2020-09-04;P26;t9;3
2020-09-04;P22;t2;1
2020-09-04;P10;t7;4
2020-09-04;P2;t10;1
2020-09-04;P22;t3;5
2020-09-04;P20;t5;2
2020-09-04;P14;t6;5
2020-09-04;P16;t3;5
2020-09-04;P10;t5;3
2020-09-04;P7;t18;2
2020-09-04;P3;t10;3
2020-09-04;P29;t7;3
2020-09-07;P11;t5;2
2020-09-07;P8;t3;1
2020-09-07;P22;t12;2
2020-09-07;P7;t13;3
2020-09-07;P13;t12;5
2020-09-07;P2;t18;4
2020-09-07;P6;t19;3
2020-09-07;P10;t9;5
2020-09-07;P11;t19;2
2020-09-07;P21;t17;4
2020-09-07;P29;t17;5
2020-09-07;P26;t11;5
2020-09-07;P13;t6;3
2020-09-07;P27;t14;2
2020-09-07;P12;t2;1
2020-09-07;P24;t13;4
2020-09-07;P6;t14;2
2020-09-08;P17;t16;4
2020-09-08;P22;t1;4
2020-09-08;P29;t12;2
2020-09-08;P9;t12;3
2020-09-08;P17;t4;4
2020-09-08;P8;t15;2
2020-09-08;P26;t8;1
2020-09-08;P24;t11;2
2020-09-08;P8;t15;1
2020-09-08;P27;t2;5
2020-09-08;P22;t3;1
2020-09-08;P13;t18;3
2020-09-08;P19;t13;3
2020-09-08;P28;t14;1
2020-09-08;P20;t10;1
2020-09-08;P16;t10;3
2020-09-08;P23;t17;2
2020-09-08;P20;t1;4
2020-09-08;P8;t15;4
2020-09-08;P9;t4;5
2020-09-08;P16;t11;4
2020-09-08;P27;t3;4
2020-09-08;P16;t14;1
2020-09-08;P16;t14;2
2020-09-08;P8;t9;3
2020-09-08;P26;t12;5
2020-09-08;P24;t13;1
2020-09-08;P21;t11;5
2020-09-08;P25;t10;4
2020-09-08;P1;t8;2
2020-09-08;P26;t9;3
2020-09-08;P18;t15;5
2020-09-08;P21;t19;4
2020-09-08;P24;t17;5
2020-09-08;P5;t5;2
2020-09-08;P23;t19;2
2020-09-08;P27;t12;2
2020-09-08;P4;t1;2
2020-09-08;P16;t7;3
2020-09-08;P19;t17;1
2020-09-08;P29;t18;2
2020-09-08;P21;t17;1
2020-09-08;P6;t18;4
2020-09-08;P5;t7;5
2020-09-09;P22;t7;5
2020-09-09;P9;t5;5
2020-09-09;P27;t8;5
2020-09-09;P8;t12;4
2020-09-09;P13;t15;4
2020-09-09;P18;t3;2
2020-09-09;P11;t2;3
2020-09-09;P22;t17;5
2020-09-09;P11;t9;1
2020-09-09;P9;t19;4
2020-09-09;P19;t11;3
2020-09-09;P27;t12;2
2020-09-09;P16;t2;3
