lp	id_osoby	id_listy	punkty	data
1	1	1	12	2014-10-20
2	1	2	12	2014-11-03
3	1	8	22	2014-11-10
4	1	3	12	2014-11-17
5	1	9	24	2014-12-01
6	1	4	12	2014-12-08
7	1	5	13	2014-12-15
8	1	10	22	2015-01-17
9	1	6	13	2015-01-19
10	1	7	12	2015-01-26
11	1	11	24	2015-02-02
12	2	1	12	2014-10-20
13	2	2	10	2014-11-03
14	2	8	19	2014-11-10
15	2	3	11	2014-11-17
16	2	9	24	2014-12-01
17	2	4	11	2014-12-08
18	2	5	10	2014-12-15
19	2	10	22	2015-01-13
20	2	6	11	2015-01-19
21	2	7	10	2015-01-26
22	2	11	2	2015-02-02
23	3	1	0	2014-11-19
24	3	2	11	2014-11-03
25	3	8	9,5	2014-11-28
26	3	3	8	2014-11-19
27	3	9	18	2014-12-01
28	3	4	7	2014-12-08
29	3	5	6,5	2015-01-07
30	3	6	11	2015-01-19
31	3	7	10	2015-01-26
32	4	1	12	2014-10-20
33	4	2	7	2014-11-12
34	4	8	15	2014-11-12
35	4	3	10	2014-11-17
36	4	9	6	2014-12-01
37	4	4	9	2014-12-17
38	4	5	0	2015-01-23
39	4	10	12,5	2015-01-23
40	4	6	11	2015-01-19
41	4	7	10	2015-01-26
42	5	1	12	2014-10-20
43	5	2	12	2014-11-03
44	5	8	22	2014-11-12
45	5	3	4	2014-11-17
46	5	9	24	2014-12-17
47	5	4	12	2014-12-08
48	5	5	13	2014-12-15
49	5	10	24	2015-01-08
50	5	6	13	2015-01-19
51	5	7	13	2015-01-26
52	5	11	24	2015-02-02
53	6	1	12	2014-10-20
54	6	2	11	2014-11-03
55	6	8	14,5	2014-11-13
56	6	3	4	2014-11-17
57	6	9	18	2014-12-01
58	6	4	12	2014-12-08
59	6	5	11	2014-12-15
60	6	10	20	2015-01-08
61	6	6	11	2015-01-19
62	6	7	12	2015-01-26
63	7	1	12	2014-10-20
64	7	2	12	2014-11-03
65	7	8	22	2014-11-10
66	7	3	10,5	2014-11-23
