Lp ;Id_uzytkownika;Data;Id_zajec
1;1;2014-04-05;16
2;4;2014-04-06;4
3;5;2014-04-07;2
4;8;2014-04-08;47
5;12;2014-04-09;54
6;13;2014-04-10;1
7;16;2014-04-11;48
8;19;2014-04-12;7
9;20;2014-04-13;60
10;22;2014-04-14;8
11;23;2014-04-15;15
12;24;2014-04-16;5
13;27;2014-04-17;10
14;36;2014-04-18;24
15;37;2014-04-19;31
16;40;2014-04-20;38
17;42;2014-04-21;56
18;45;2014-04-22;6
19;46;2014-04-23;12
20;47;2014-04-24;26
21;48;2014-04-25;33
22;49;2014-04-26;40
23;50;2014-04-27;58
24;51;2014-04-28;11
25;53;2014-04-29;20
26;54;2014-04-30;25
27;57;2014-04-17;32
28;58;2014-04-18;39
29;60;2014-04-19;57
30;61;2014-04-20;23
31;63;2014-04-21;52
32;65;2014-04-22;45
33;66;2014-04-23;14
34;71;2014-04-24;27
35;72;2014-04-25;34
36;73;2014-04-26;46
37;77;2014-04-27;13
38;78;2014-04-03;22
39;79;2014-04-04;30
40;80;2014-04-05;37
41;83;2014-04-06;42
42;86;2014-04-07;43
43;87;2014-04-08;51
44;89;2014-04-09;59
45;90;2014-04-10;3
46;96;2014-04-11;18
47;97;2014-04-12;21
48;98;2014-04-13;53
49;99;2014-04-14;17
50;100;2014-04-15;29
51;105;2014-04-16;36
52;106;2014-04-17;44
53;107;2014-04-18;50
54;108;2014-04-03;9
55;109;2014-04-04;19
56;112;2014-04-05;28
57;114;2014-04-06;35
58;119;2014-04-07;41
59;120;2014-04-08;49
60;121;2014-04-09;55
61;124;2014-04-10;16
62;125;2014-04-11;4
63;126;2014-04-12;2
64;127;2014-04-13;47
65;129;2014-04-14;54
66;130;2014-04-15;1
67;132;2014-04-16;48
68;133;2014-04-17;7
69;134;2014-04-18;60
70;136;2014-04-19;8
71;139;2014-04-20;15
72;141;2014-04-21;5
73;142;2014-04-22;10
74;144;2014-04-23;24
75;153;2014-04-24;31
76;155;2014-04-25;38
77;157;2014-04-26;56
78;161;2014-04-27;6
79;162;2014-04-03;12
80;163;2014-04-04;26
81;166;2014-04-05;33
82;169;2014-04-06;40
83;170;2014-04-07;58
84;173;2014-04-08;11
85;179;2014-04-09;20
86;181;2014-04-10;25
87;184;2014-04-11;32
88;185;2014-04-12;39
89;188;2014-04-13;57
90;189;2014-04-14;23
91;192;2014-04-15;52
92;195;2014-04-16;45
93;196;2014-04-17;14
94;198;2014-04-18;27
95;201;2014-04-19;34
96;202;2014-04-20;46
97;204;2014-04-21;13
98;205;2014-04-22;22
99;206;2014-04-23;30
100;207;2014-04-24;37
101;209;2014-04-25;42
102;210;2014-04-26;43
103;215;2014-04-27;51
104;218;2014-04-28;59
105;226;2014-04-29;3
106;228;2014-04-30;18
107;230;2014-04-25;21
108;231;2014-04-26;53
109;235;2014-04-27;17
110;240;2014-04-03;29
111;241;2014-04-04;36
112;244;2014-04-05;44
113;245;2014-04-06;50
114;247;2014-04-07;9
115;248;2014-04-08;19
116;249;2014-04-09;28
117;250;2014-04-10;35
118;252;2014-04-11;41
119;254;2014-04-12;49
120;255;2014-04-13;55
121;256;2014-04-14;16
122;257;2014-04-15;4
123;258;2014-04-16;2
124;260;2014-04-17;47
125;264;2014-04-18;54
126;265;2014-04-19;1
