ID_zdjecia	Data_dodania	ID_uzytkownika	Szerokosc	Wysokosc
1	2013-06-29	11	720	480
2	2014-09-08	56	720	480
3	2013-08-30	74	1440	576
4	2013-12-16	77	1920	576
5	2013-07-07	33	720	720
6	2013-11-19	22	1440	576
7	2014-08-01	36	720	576
8	2012-08-09	43	1440	1080
9	2012-09-17	13	1280	480
10	2012-07-01	19	1920	720
11	2014-10-20	23	720	720
12	2014-12-16	62	1280	1080
13	2014-10-18	52	1440	1080
14	2012-11-05	23	1717	1575
15	2014-06-07	50	1440	576
16	2014-08-10	28	720	720
17	2014-01-29	39	1920	1080
18	2013-07-03	77	1440	576
19	2014-05-25	66	720	576
20	2013-06-19	2	720	1080
21	2013-10-30	37	1280	1080
22	2013-06-02	2	1440	720
23	2013-02-03	24	720	1080
24	2013-11-15	43	1920	480
25	2013-06-07	61	1348	1409
26	2013-09-16	41	1721	1751
27	2014-09-06	5	1280	1080
28	2013-08-28	23	720	480
29	2013-05-31	81	1580	1273
30	2015-01-03	30	1920	480
31	2013-04-04	68	1920	1080
32	2013-06-23	65	720	1080
33	2012-06-11	39	1920	576
34	2012-07-20	8	720	1080
35	2013-03-21	27	1280	720
36	2013-05-10	28	720	576
37	2013-08-29	38	1920	576
38	2012-10-20	77	720	480
39	2013-12-28	47	1198	1377
40	2015-01-14	41	720	720
41	2014-11-01	3	1440	1080
42	2014-10-19	73	1920	1080
43	2013-11-13	75	1280	1080
44	2013-05-12	11	720	720
45	2013-12-07	49	1440	720
46	2013-05-19	13	1280	720
47	2014-03-16	84	1920	480
48	2014-10-08	33	720	480
49	2013-03-31	57	1280	1080
50	2013-05-24	61	1920	576
51	2015-01-20	25	1280	576
52	2014-09-12	70	1920	1080
53	2014-05-12	31	1280	1080
54	2014-08-19	19	1920	1080
55	2013-06-27	40	720	720
56	2013-08-30	70	1280	1080
57	2014-09-15	84	1440	720
58	2012-10-25	27	1633	1674
59	2014-09-14	53	1440	720
60	2012-08-04	33	1280	480
61	2013-05-12	17	1795	1333
62	2012-07-05	25	1440	576
63	2013-12-27	45	720	1080
64	2014-08-08	51	720	480
65	2014-09-11	31	1456	1016
66	2014-01-27	10	1920	576
67	2014-07-15	46	720	480
68	2012-05-23	80	720	1080
69	2012-07-16	2	1280	480
70	2012-07-21	36	720	1080
71	2012-07-03	51	1280	480
72	2013-12-04	2	1440	576
73	2014-09-16	25	1920	1080
74	2014-01-10	77	1920	720
75	2013-02-16	16	720	480
76	2014-02-19	10	1920	480
77	2013-10-14	44	1440	576
78	2014-05-17	77	1280	1080
79	2014-12-28	34	720	480
80	2014-08-16	71	1280	480
81	2014-01-02	16	720	1080
82	2013-07-22	15	1173	1206
83	2013-11-30	5	1920	1080
84	2015-01-30	44	1920	576
85	2014-11-17	79	720	1080
86	2012-09-16	33	1440	720
87	2013-11-11	58	1440	1080
88	2013-09-13	32	1440	1080
89	2014-06-26	12	1656	1867
90	2013-07-14	56	720	480
91	2013-03-18	35	1920	720
92	2012-09-21	65	1280	720
