Znajomy_1	Znajomy_2	Data
64	12	2014-11-23
81	46	2013-01-27
82	13	2013-11-01
17	24	2013-12-07
28	26	2012-11-16
62	19	2014-11-15
44	57	2013-12-17
8	3	2012-09-13
77	36	2013-05-04
60	22	2012-08-25
38	74	2015-01-27
47	24	2013-06-14
15	12	2013-08-04
62	69	2014-07-20
16	76	2014-12-10
58	11	2013-11-21
21	1	2014-05-06
42	53	2012-05-31
57	62	2012-11-12
21	16	2014-02-16
5	63	2014-06-11
44	42	2012-08-16
44	50	2012-08-14
76	71	2014-10-26
7	4	2012-09-01
57	56	2013-05-14
13	27	2013-12-29
8	49	2013-12-28
35	3	2014-02-01
29	59	2014-07-09
80	62	2013-09-13
34	55	2013-06-16
69	5	2014-08-20
74	24	2014-07-10
19	64	2014-03-21
23	76	2012-07-02
21	42	2013-03-17
49	11	2014-05-25
55	17	2012-06-13
2	59	2013-10-14
14	31	2013-03-15
59	75	2014-11-10
31	39	2015-01-01
77	8	2013-01-28
24	33	2013-11-30
59	30	2013-09-03
28	59	2012-07-12
9	62	2013-12-16
24	8	2014-12-31
43	71	2013-12-03
23	56	2012-09-08
81	26	2012-06-21
51	68	2012-08-02
79	60	2013-09-20
37	8	2012-08-08
1	46	2013-12-04
58	22	2013-12-01
82	83	2014-12-31
37	80	2014-02-26
69	43	2014-07-12
78	28	2013-12-19
27	47	2013-12-24
15	61	2013-08-17
69	56	2012-12-01
23	80	2014-09-18
34	11	2012-06-07
25	55	2013-05-03
69	82	2013-07-09
48	27	2013-10-08
32	30	2013-10-06
5	6	2014-01-03
11	3	2014-03-06
53	56	2012-12-29
68	34	2012-05-26
45	44	2012-10-21
72	21	2013-07-06
51	78	2014-05-22
31	17	2012-07-11
12	16	2012-10-05
17	36	2013-02-28
45	82	2012-05-09
3	76	2014-02-19
14	49	2012-06-30
53	26	2012-08-23
40	19	2013-03-12
36	35	2013-09-03
26	62	2013-05-11
16	55	2013-06-02
13	48	2012-08-01
24	45	2014-07-14
75	11	2014-09-29
44	15	2014-02-27
21	44	2013-11-01
10	55	2013-09-02
51	44	2013-02-28
73	10	2014-04-17
21	77	2013-06-17
66	15	2014-12-22
18	51	2012-08-09
14	1	2013-04-04
84	83	2013-04-15
19	34	2014-01-13
64	67	2014-01-15
50	23	2014-12-30
66	77	2013-06-30
83	55	2014-01-04
24	36	2014-02-05
20	80	2013-11-23
24	2	2014-12-04
5	32	2014-10-01
60	59	2012-09-10
68	45	2014-08-19
48	15	2013-01-11
80	58	2013-02-21
27	22	2013-09-30
60	47	2012-06-20
62	78	2012-08-03
25	32	2014-09-19
73	81	2014-03-07
76	54	2012-07-06
51	73	2013-01-09
56	47	2014-03-19
65	44	2014-10-06
11	35	2014-04-24
49	15	2013-01-03
57	83	2014-04-18
50	81	2013-08-30
69	55	2012-11-19
34	27	2015-01-21
18	46	2013-05-12
21	57	2014-06-04
11	32	2014-02-19
74	49	2014-05-02
47	34	2012-11-25
52	55	2013-04-23
31	38	2013-07-10
41	47	2012-12-21
39	54	2012-09-18
29	62	2014-02-21
36	23	2014-11-28
84	44	2012-08-11
25	84	2013-11-18
48	51	2014-08-26
29	61	2013-12-31
30	76	2013-10-30
52	29	2015-01-12
9	63	2014-03-24
73	21	2013-07-23
44	10	2012-10-07
31	49	2013-08-05
51	60	2012-11-27
13	67	2014-05-29
32	51	2013-02-23
2	32	2012-11-15
84	46	2013-05-29
78	75	2012-09-25
42	38	2012-07-18
69	60	2013-04-29
33	30	2014-06-02
36	50	2013-06-04
10	24	2012-12-25
66	5	2013-01-07
2	78	2014-02-23
66	56	2013-04-04
