Id_grupy;Nazwa_grupy
1.0;Leki blokujace receptory histaminowe H2 - stosowane doustnie
10.0;Leki przeciwbiegunkowe - loperamid
100.1;Sulfametoksazol w polaczeniu z trimetoprymem do stosowania doustnego - postacie stale
100.2;Sulfametoksazol w polaczeniu z trimetoprymem do stosowania doustnego - postacie plynne
101.1;Antybiotyki makrolidowe do stosowania doustnego - plynne postacie farmaceutyczne
101.2;Antybiotyki makrolidowe do stosowania doustnego - stale postacie farmaceutyczne
102.1;Antybiotyki linkozamidowe do stosowania pozajelitowego
102.2;Antybiotyki linkozamidowe do stosowania doustnego - stale postacie farmaceutyczne
103.2;Antybiotyki aminoglikozydowe do stosowania pozajelitowego - gentamycyna
105.0;Chinolonowe leki przeciwbakteryjne - fluorochinolony do stosowania doustnego
106.0;Antybiotyki peptydowe - kolistyna
108.0;Chemioterapeutyki do stosowania doustnego - pochodne nitrofuranowe
109.0;Leki przeciwgrzybicze do stosowania doustnego - pochodne imidazolu - ketokonazol
11.0;Kortykosteroidy do stosowania doustnego o dzialaniu miejscowym na przewod pokarmowy - budesonid
110.1;Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stale postacie farmaceutyczne
110.2;Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - plynne postacie farmaceutyczne
111.1;Leki przeciwpratkowe - antybiotyki - ryfampicyna
111.2;Leki przeciwpratkowe - produkty zlozone - izoniazyd z ryfampicyna
112.0;Leki przeciwgrzybicze do stosowania ogolnego - pochodne triazolu - posaconazol
113.0;Leki przeciwpratkowe - inne - pyrazynamid
115.1;Leki przeciwwirusowe do stosowania do oczu - acyklowir
115.2;Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego
116.0;Leki przeciwwirusowe - walgancyklowir - postacie do stosowania doustnego
117.1;Leki przeciwnowotworowe i immunomodulujace - leki alkilujace - cyklofosfamid
12.1;Leki przeciwzapalne dzialajace na jelita - mesalazyna i sulfasalazyna - produkty do stosowania doustnego
12.2;Leki przeciwzapalne dzialajace na jelita - mesalazyna - produkty do stosowania doodbytniczego - stale postacie farmaceutyczne
12.3;Leki przeciwzapalne dzialajace na jelita - mesalazyna - produkty do stosowania doodbytniczego - plynne postacie farmaceutyczne
120.1;Leki przeciwnowotworowe i immunomodulujace - antymetabolity - metotreksat do stosowania doustnego
120.2;Leki przeciwnowotworowe i immunomodulujace - inne immunosupresanty - metotreksat do stosowania podskornego
126.0;Leki przeciwnowotworowe i immunomodulujace - inne - hydroksymocznik
127.2;Leki przeciwnowotworowe i immunomodulujace - progestogeny - medroksyprogesteron do podawania pozajelitowego
128.0;Leki przeciwnowotworowe i immunomodulujace - progestogeny - megestrol do podawania doustnego - postacie plynne
129.0;Leki przeciwnowotworowe i immunomodulujace - analogi hormonu uwalniajacego gonadotropine
13.0;Enzymy trzustkowe
130.0;Leki przeciwnowotworowe i immunomodulujace - antyestrogeny - tamoksyfen
131.0;Leki przeciwnowotworowe i immunomodulujace - antyandrogeny o budowie niesteroidowej
132.0;Leki przeciwnowotworowe i immunomodulujace - inhibitory enzymow - doustne inhibitory aromatazy
133.0;Leki przeciwnowotworowe i immunomodulujace - immunostymulujace - czynniki stymulujace wzrost granulocytow
134.0;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - kwas mykofenolowy i jego pochodne
135.1;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - sirolimus
135.2;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - ewerolimus
136.0;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - leflunomid
137.1;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - inhibitory kalcyneuryny - cyklosporyna do stosowania doustnego - stale postacie farmaceutyczne
138.2;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - inhibitory kalcyneuryny - cyklosporyna do stosowania doustnego - plynne postacie farmaceutyczne
139.0;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - inhibitory kalcyneuryny - takrolimus
14.1;Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich
14.3;Hormony trzustki - dlugodzialajace analogi insulin
140.0;Leki przeciwnowotworowe i immunomodulujace - leki immunosupresyjne - azatiopryna
141.1;Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskladnikowe i skojarzone z inhibitorami pompy protonowej - stale postacie farmaceutyczne
141.2;Niesteroidowe leki przeciwzapalne do stosowania doodbytniczego
141.3;Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego
141.4;Niesteroidowe leki przeciwzapalne do stosowania doustnego - plynne postacie farmaceutyczne
144.0;Leki dzialajace rozkurczowo na miesnie szkieletowe - tizanidyna
145.0;Leki stosowane w leczeniu dny - allopurynol
146.1;Leki stosowane w chorobach kosci - bisfosfoniany doustne - kwas klodronowy
146.2;Leki stosowane w chorobach kosci - bisfosfoniany do podawania pozajelitowego - kwas pamidronowy
146.3;Leki stosowane w chorobach kosci - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy
147.0;Leki stosowane w chorobach kosci - bisfosfoniany doustne - kwas alendronowy i ryzendronowy
