Kod_leku;Subst_czynna;Nazwa;Id_grupy;Cena_detaliczna;Cena_refundowana
4013054024331;Metforminum;Siofor 500, tabl. powl., 500 mg;15.0;12,21;3,2
4013054024348;Metforminum;Siofor 850, tabl. powl., 850 mg;15.0;19,87;4,08
4037353010604;Leflunomidum;Leflunomide medac, tabl. powl., 10 mg;136.0;60,5;3,2
4037353010628;Leflunomidum;Leflunomide medac, tabl. powl., 20 mg;136.0;121,32;3,52
4037353013506;Acidum zoledronicum;Acidum zoledronicum medac, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml;146.3;197,23;38,88
4037353014305;Acidum zoledronicum;Acidum zoledronicum medac, roztwor do infuzji, 4 mg/100 ml;146.3;197,23;38,88
4037353015388;Leflunomidum;Leflunomide medac, tabl. powl., 15 mg;136.0;91,97;4,42
5055565711958;Acidum zoledronicum;Zoledronic acid Accord, koncentrat do sporzadzania roztworu do infuzji, 4 mg/5 ml;146.3;126,92;3,2
5055565713846;Filgrastimum;Accofil, roztwor do wstrzykiwan lub infuzji, 30 mln j./0,5 ml;133.0;128,93;3,2
5055565713853;Filgrastimum;Accofil, roztwor do wstrzykiwan lub infuzji, 48 mln j./0,5 ml;133.0;199,56;3,2
5055565713860;Filgrastimum;Accofil, roztwor do wstrzykiwan lub infuzji, 30 mln j./0,5 ml;133.0;597,07;3,2
5055565713877;Filgrastimum;Accofil, roztwor do wstrzykiwan lub infuzji, 48 mln j./0,5 ml;133.0;947,81;3,2
5901720140005;Doxazosinum;Dozox, tabl., 4 mg;76.0;25,59;7,68
5901720140012;Doxazosinum;Dozox, tabl., 4 mg;76.0;70,74;9,6
5901878600123;Olanzapinum;Zalasta, tabl. powl., 10 mg;178.2;90,08;3,2
5901878600147;Telmisartanum;Micardis, tabl., 80 mg;45.0;14,38;4,88
5902020241133;Levocetirizini dihydrochloridum;Lirra, tabl. powl., 5 mg;207.1;31,76;12,01
5902020241140;Levocetirizini dihydrochloridum;Lirra, tabl. powl., 5 mg;207.1;46,38;16,76
5902020926016;Terbinafinum;Terbigen, tabl., 250 mg;50.0;51,9;25,95
5902023770463;Cefuroximum;Zinnat, tabl. powl., 250 mg;90.2;19,14;10,24
5902023770579;Cefuroximum;Zinnat, tabl. powl., 500 mg;90.2;35,22;17,61
5902023772061;Finasteridum;Hyplafin, tabl. powl., 5 mg;77.0;26,78;3,2
5902023772368;Paroxetinum;Parogen, tabl. powl., 20 mg;184.0;13,04;3,91
5902023772375;Paroxetinum;Parogen, tabl. powl., 20 mg;184.0;24,57;7,37
5903060601673;Latanoprostum;Xaloptic, krople do oczu, roztwor, 50 Ág/ml;214.0;104,09;8
5907553016012;Simvastatinum;Simvastatin Genoptim, tabl. powl., 20 mg;46.0;7,29;3,73
5907553016029;Simvastatinum;Simvastatin Genoptim, tabl. powl., 40 mg;46.0;14,33;7,2
5907626701623;Tramadolum + Paracetamolum;Delparan, tabl. powl., 37,5+325 mg;153.3;15,25;0
5907626701753;Cefuroximum;Xorimax 250, tabl. drazowane, 250 mg;90.2;26,22;13,75
5907626701760;Cefuroximum;Xorimax 500, tabl. drazowane, 500 mg;90.2;49,87;24,94
5907626701852;Methotrexatum;Ebetrexat, roztwor do wstrzykiwan w ampulko-strzykawce, 20 mg/ml;120.2;26,85;3,2
5907626701913;Methotrexatum;Ebetrexat, roztwor do wstrzykiwan w ampulko-strzykawce, 20 mg/ml;120.2;34,96;3,2
5907626702033;Methotrexatum;Ebetrexat, roztwor do wstrzykiwan w ampulko-strzykawce, 20 mg/ml;120.2;51,08;3,2
5907626702682;Azithromycinum;AzitroLEK, proszek do sporzadzania zawiesiny doustnej, 200 mg/5 ml;101.1;41,05;24,96
5907695215014;Levocetirizini dihydrochloridum;Zyx, tabl. powl., 5 mg;207.1;38,57;18,82
5909990000036;Fentanylum;Fentanyl Actavis 25 Ág/h, system transdermalny, 25 Ág/h;152.4;43,72;9,56
5909990000050;Fentanylum;Fentanyl Actavis 50 Ág/h, system transdermalny, 50 Ág/h;152.4;77,59;6,06
5909990000081;Fentanylum;Fentanyl Actavis 75 Ág/h, system transdermalny, 75 Ág/h;152.4;110,95;3,2
