Id_rosliny;Nazwa;Cena;Kolor_kwiatow;Okres_kwitnienia;Rozmiary_doniczki
54;Aconitum napellus;5;ciemno-niebieskie;IX-X;13x13x13
55;Aconitum napellus  Album ;8;biale;VII;13x13x13
58;Adonis vernalis;30;zolte;VI-IX;13x13x13
62;Artemisia vulgaris  Oriental Limelight ;4;szare;VII-IX;9x9x9
64;Anemone japonica  Prinz Heinrich ;5;rozowe;VII-IX;9x9x9
65;Anemone japonica  Wirbelwind ;10;biale;VII-IX;11x11x11
71;Anemone nemorosa  Rosea ;5;rozowe;III-IV;9x9x9
73;Asphodeline lutea;8;zolte;VI;9x9x12
74;Aster pyrenaeus  Lutetia ;5;niebieskie;VII-IX;9x9x9
75;Aster speciosus   Connecticut ;6;biale;IX-X;9x9x9
76;Aster macrophyllus;5;biale;VII-IX;9x9x9
77;Aster  Alma Potschke ;5;karminowe;VII-X;11x11x11
79;Anemone canadense;5;biale;VIII-X;9x9x9
86;Aruncus dioicus;5;biale;VI-VII;9x9x9
87;Aquilegia vulgaris  Variegata ;6;niebiesko-kremowe;VI;9x9x9
89;Brunnera macrophylla;5;niebieskie;IV-V;9x9x12
90;Brunnera macrophylla  Langrest ;7;niebieskie;IV-V;9x9x12
91;Brunnera macrophylla  Hadspen Cream ;9;niebieskie;IV-V;9x9x12
93;Campanula Takesimana hybr.  Elizabeth ;5;biale;VI-VII;9x9x9
98;Chelone obiqua  Alba ;7;biale;VI;9x9x9
115;Anemone nemorosa  Virescens ;10;zielone;III-IV;9x9x9
118;Aster lateriflorus  Lady in Black ;7;bialo-rozowe;VII-X;11x11x11
120;Brunnera macrophylla  Betty Bowring ;15;biale;IV-V;11x11x11
121;Brunnera macrophylla  Silver Wings ;12;niebieskie;IV-V;9x9x12
122;Brunnera macrophylla  Jack Frost ;8;niebieskie;IV-V;11x11x11
124;Campanula punctata  Wedding Bells ;7;liliowe;VI;9x9x9
128;Filipendula ulmaria  Aurea ;8;kremowe;VI;9x9x9
130;Heliopsis helianthoides  Loraine Sunshine ;8;zolte;VI;9x9x12
134;Hypericum cerastio moserianum TRICOLOR;15;zolte;VI;11x11x11
135;Oenothera fruticosa  Fruhlingsgold ;6;zolte;IV-V;9x9x9
136;Ompholodes cappadocica x hybr  Starry Eyes ;10;niebieskie;IV-V;9x9x9
137;Persicaria iicrocephala  RED DRAGON ;6;fioletowe;VI-VII;9x9x12
141;Tradescentia x andersoniana x hybr  Sweet Kate ;8;niebieskie;VI-VIII;9x9x9
142;Pulmonaria Rospberry Splash;7;rozowe;IV;9x9x12
143;Viola odorata Plena;6;niebieskie;IV-V;9x9x9
144;Viola japonica;5;niebieskie;IV;9x9x9
146;Yucca filamentosa  Bright Edge ;20;biale;VI-VII;10x10x20
148;Eupatorium vugosum  Chocolate ;8;kremowe;VI-VII;11x11x11
161;Geranium macrorrhizum  Variegata ;7;rozowe;VI;11x11x11
162;Geranium phaeum  Sambor ;6;rozowe;V-VI;9x9x12
217;Hylomecon japonica;5;zolte;V-VI;9x9x9
218;Iris sibirica;5;fioletowe;IV-VI;9x9x12
230;Maclyeaya cordata;6;kremowe;VII;11x11x11
231;Mentha sueveolens  Variegata ;4;biale;VI;9x9x9
233;Oenothera tetragona  Fyrverkeri ;4;zolte;V-VIII;9x9x9
235;Origanum vulgare  Aureum ;5;kremowe;VI;9x9x9
236;Penstemon barbatus;5;czerwone;VII-IX;13x13x13
237;Penstemon digitalis  Husker Red Strain ;5;kremowe;VI-VIII;11x11x11
241;Phlox paniculata  Joice ;7;rozowe;VI-VII;9x9x12
242;Polygonatum falcatum  Variegata ;7;biale;V;9x9x9
246;Pulmonaria albocorolata  Alba ;5;biale;IV-V;13x13x13
249;Physostegia virginiana  Variegata ;6;rozowe;VII-VIII;9x9x9
250;Physostegia virginiana  Bouquet Rose ;4;rozowe;VI-VII;9x9x9
251;Physostegia virginiana  Summersnow ;4;biale;VI-VII;9x9x9
253;Ruta graveolens  Variegata ;5;zolte;V-VII;9x9x12
254;Salvia sclarea;5;liliowe;VII-VIII;9x9x9
255;Scrophularia auriculata   variegata ;8;buraczkowe;VI;11x11x11
