ID_gatunku	ID_lokalizacji	poczatek	koniec	liczebnosc	zachowanie
92	24	1984-12-16 12:55	1984-12-16 13:55	107	plywa
101	24	1984-12-16 12:55	1984-12-16 13:55	36	plywa
131	24	1984-12-16 12:55	1984-12-16 13:55	30	plywa
55	24	1984-12-16 12:55	1984-12-16 13:55	20	plywa
129	24	1984-12-16 12:55	1984-12-16 13:55	20	plywa
52	24	1984-12-16 12:55	1984-12-16 13:55	9	plywa
37	24	1984-12-16 12:55	1984-12-16 13:55	8	plywa
109	24	1984-12-16 12:55	1984-12-16 13:55	3	plywa
193	24	1984-12-16 12:55	1984-12-16 13:55	1	plywa
101	24	1988-02-01 12:30	1988-02-01 15:00	33	plywa
92	24	1988-02-01 12:30	1988-02-01 15:00	30	plywa
52	24	1988-02-01 12:30	1988-02-01 15:00	15	plywa
104	24	1988-02-01 12:30	1988-02-01 15:00	10	plywa
129	24	1988-02-01 12:30	1988-02-01 15:00	5	plywa
193	24	1988-02-01 12:30	1988-02-01 15:00	1	plywa
33	24	1988-02-01 12:30	1988-02-01 15:00	8	brak informacji
64	24	1988-02-01 12:30	1988-02-01 15:00	6	brak informacji
98	24	1988-02-01 12:30	1988-02-01 15:00	3	brak informacji
125	24	1988-02-01 12:30	1988-02-01 15:00	1	brak informacji
138	24	1988-02-01 12:30	1988-02-01 15:00	1	brak informacji
187	24	1988-02-01 12:30	1988-02-01 15:00	1	brak informacji
104	24	1988-02-04 13:25	1988-02-04 15:30	170	plywa
109	24	1988-02-04 13:25	1988-02-04 15:30	100	plywa
129	24	1988-02-04 13:25	1988-02-04 15:30	53	plywa
92	24	1988-02-04 13:25	1988-02-04 15:30	30	plywa
16	24	1988-02-04 13:25	1988-02-04 15:30	18	plywa
101	24	1988-02-04 13:25	1988-02-04 15:30	18	plywa
55	24	1988-02-04 13:25	1988-02-04 15:30	10	plywa
131	24	1988-02-04 13:25	1988-02-04 15:30	2	plywa
39	24	1988-02-04 13:25	1988-02-04 15:30	50	brak informacji
23	24	1988-02-04 13:25	1988-02-04 15:30	13	brak informacji
34	24	1988-02-04 13:25	1988-02-04 15:30	5	brak informacji
119	24	1988-02-04 13:25	1988-02-04 15:30	3	brak informacji
45	24	1988-02-04 13:25	1988-02-04 15:30	1	brak informacji
138	24	1988-02-04 13:25	1988-02-04 15:30	1	brak informacji
14	28	2007-09-01 06:00	2007-09-01 11:00	50	brak informacji
15	28	2007-09-01 06:00	2007-09-01 11:00	5	brak informacji
25	28	2007-09-01 07:30	2007-09-01 11:30	1	brak informacji
87	28	2007-09-01 08:30	2007-09-01 14:00	1	zeruje
79	28	2007-09-01 08:30	2007-09-01 14:00	1	brak informacji
56	28	2007-09-01 09:00	2007-09-01 12:00	5	brak informacji
143	28	2007-09-01 09:00	2007-09-01 14:00	2	brak informacji
176	28	2007-09-01 09:00	2007-09-01 14:00	2	brak informacji
221	28	2007-09-01 10:00	2007-09-01 13:00	25	brak informacji
115	28	2007-09-01 12:00	2007-09-01 15:00	2	brak informacji
99	28	2007-09-01 12:00	2007-09-01 15:00	1	brak informacji
6	29	2007-10-06 06:00	2007-10-06 11:00	2	brak informacji
195	29	2007-10-06 07:15	2007-10-06 09:20	80	brak informacji
196	29	2007-10-06 07:15	2007-10-06 09:20	31	brak informacji
188	29	2007-10-06 07:15	2007-10-06 09:20	6	brak informacji
188	29	2007-10-06 07:15	2007-10-06 09:20	2	brak informacji
191	29	2007-10-06 07:15	2007-10-06 09:20	1	brak informacji
29	29	2007-10-06 07:30	2007-10-06 11:30	21	brak informacji
23	29	2007-10-06 07:30	2007-10-06 11:30	8	brak informacji
23	29	2007-10-06 08:00	2007-10-06 11:00	12	brak informacji
19	29	2007-10-06 08:00	2007-10-06 11:00	1	brak informacji
89	29	2007-10-06 08:30	2007-10-06 14:00	17	brak informacji
76	29	2007-10-06 08:30	2007-10-06 14:00	12	brak informacji
83	29	2007-10-06 08:30	2007-10-06 14:00	6	brak informacji
83	29	2007-10-06 08:30	2007-10-06 14:00	2	brak informacji
73	29	2007-10-06 08:30	2007-10-06 14:00	1	brak informacji
57	29	2007-10-06 09:00	2007-10-06 12:00	186	brak informacji
54	29	2007-10-06 09:00	2007-10-06 12:00	42	brak informacji
64	29	2007-10-06 09:00	2007-10-06 12:00	34	brak informacji
51	29	2007-10-06 09:00	2007-10-06 12:00	16	brak informacji
33	29	2007-10-06 09:00	2007-10-06 12:00	12	brak informacji
37	29	2007-10-06 09:00	2007-10-06 12:00	6	brak informacji
45	29	2007-10-06 09:00	2007-10-06 12:00	3	brak informacji
45	29	2007-10-06 09:00	2007-10-06 12:00	2	brak informacji
61	29	2007-10-06 09:00	2007-10-06 12:00	2	brak informacji
67	29	2007-10-06 09:00	2007-10-06 12:00	2	brak informacji
32	29	2007-10-06 09:00	2007-10-06 12:00	1	brak informacji
33	29	2007-10-06 09:00	2007-10-06 12:00	1	brak informacji
34	29	2007-10-06 09:00	2007-10-06 12:00	1	brak informacji
44	29	2007-10-06 09:00	2007-10-06 12:00	1	brak informacji
187	29	2007-10-06 09:00	2007-10-06 14:00	24	brak informacji
175	29	2007-10-06 09:00	2007-10-06 14:00	21	brak informacji
180	29	2007-10-06 09:00	2007-10-06 14:00	14	brak informacji
187	29	2007-10-06 09:00	2007-10-06 14:00	4	brak informacji
175	29	2007-10-06 09:00	2007-10-06 14:00	3	brak informacji
151	29	2007-10-06 09:00	2007-10-06 14:00	2	brak informacji
166	29	2007-10-06 09:00	2007-10-06 14:00	2	brak informacji
221	29	2007-10-06 10:00	2007-10-06 13:00	46	brak informacji
215	29	2007-10-06 10:00	2007-10-06 13:00	12	brak informacji
221	29	2007-10-06 11:00	2007-10-06 12:30	260	brak informacji
117	29	2007-10-06 12:00	2007-10-06 15:00	92	brak informacji
107	29	2007-10-06 12:00	2007-10-06 15:00	67	brak informacji
104	29	2007-10-06 12:00	2007-10-06 15:00	41	brak informacji
92	29	2007-10-06 12:00	2007-10-06 15:00	39	brak informacji
97	29	2007-10-06 12:00	2007-10-06 15:00	21	brak informacji
110	29	2007-10-06 12:00	2007-10-06 15:00	20	brak informacji
123	29	2007-10-06 12:00	2007-10-06 15:00	10	brak informacji
123	29	2007-10-06 12:00	2007-10-06 15:00	2	brak informacji
218	29	2007-10-06 12:00	2007-10-06 15:00	2	brak informacji
124	29	2007-10-06 14:00	2007-10-06 18:00	4	brak informacji
138	29	2007-10-06 14:00	2007-10-06 18:00	1	brak informacji
23	29	2007-10-07 07:30	2007-10-07 11:30	6	brak informacji
45	29	2007-10-07 09:00	2007-10-07 12:00	2	brak informacji
57	26	2007-10-07 10:00	2007-10-07 16:00	430	brak informacji
76	26	2007-10-07 12:00	2007-10-07 14:00	90	brak informacji
198	26	2007-10-07 12:00	2007-10-07 14:00	66	brak informacji
117	29	2007-10-07 12:00	2007-10-07 15:00	300	brak informacji
110	29	2007-10-07 12:00	2007-10-07 15:00	20	brak informacji
123	29	2007-10-07 12:00	2007-10-07 15:00	5	brak informacji
125	20	2007-10-14 10:00	2007-10-14 10:15	1	zeruje
2	17	2007-11-11 09:00	2007-11-11 10:00	2	zeruje
142	17	2007-11-11 09:00	2007-11-11 10:00	2	zeruje
126	17	2007-11-11 09:00	2007-11-11 10:00	5	leci
52	24	2007-12-02 12:00	2007-12-02 15:00	8	zeruje
131	24	2007-12-02 12:00	2007-12-02 15:00	8	zeruje
16	24	2007-12-02 12:00	2007-12-02 15:00	2	zeruje
193	24	2007-12-02 12:00	2007-12-02 15:00	2	zeruje
1	24	2007-12-02 12:00	2007-12-02 15:00	1	zeruje
201	24	2007-12-02 12:00	2007-12-02 15:00	2	leci
23	13	2008-01-14 08:15	2008-01-14 11:45	8	zeruje
51	13	2008-01-14 08:15	2008-01-14 11:45	5	zeruje
187	13	2008-01-14 08:15	2008-01-14 11:45	5	zeruje
98	13	2008-01-14 08:15	2008-01-14 11:45	4	zeruje
119	13	2008-01-14 08:15	2008-01-14 11:45	4	zeruje
63	13	2008-01-14 08:15	2008-01-14 11:45	2	zeruje
68	13	2008-01-14 08:15	2008-01-14 11:45	2	zeruje
83	13	2008-01-14 08:15	2008-01-14 11:45	2	zeruje
180	13	2008-01-14 08:15	2008-01-14 11:45	1	zeruje
89	13	2008-01-14 08:15	2008-01-14 11:45	12	leci
188	13	2008-01-14 08:15	2008-01-14 11:45	3	leci
17	13	2008-01-14 08:15	2008-01-14 11:45	1	leci
192	13	2008-01-14 08:15	2008-01-14 11:45	1	leci
124	13	2008-01-14 08:15	2008-01-14 11:45	1	odpoczywa
68	13	2008-01-21 09:00	2008-01-21 10:00	10	zeruje
63	13	2008-01-21 09:00	2008-01-21 10:00	3	zeruje
161	13	2008-01-21 09:00	2008-01-21 10:00	1	odpoczywa
68	13	2008-01-23 13:15	2008-01-23 13:25	31	zeruje
23	13	2008-01-23 13:15	2008-01-23 13:25	12	zeruje
119	13	2008-01-23 13:15	2008-01-23 13:25	4	zeruje
83	13	2008-01-23 13:15	2008-01-23 13:25	2	zeruje
187	13	2008-01-23 13:15	2008-01-23 13:25	2	zeruje
63	13	2008-01-23 13:15	2008-01-23 13:25	1	zeruje
98	13	2008-01-23 13:15	2008-01-23 13:25	1	zeruje
87	13	2008-01-23 13:15	2008-01-23 13:25	1	zeruje
68	13	2008-01-26 08:00	2008-01-26 15:00	45	zeruje
192	13	2008-01-26 08:00	2008-01-26 15:00	17	zeruje
23	13	2008-01-26 08:00	2008-01-26 15:00	8	zeruje
119	13	2008-01-26 08:00	2008-01-26 15:00	3	zeruje
51	13	2008-01-26 08:00	2008-01-26 15:00	2	zeruje
187	13	2008-01-26 08:00	2008-01-26 15:00	2	zeruje
60	13	2008-01-26 08:00	2008-01-26 15:00	1	zeruje
188	13	2008-01-26 08:00	2008-01-26 15:00	1	zeruje
