id_lotu	id_pasazera
142	100
161	420
170	161
171	155
175	189
966	210
177	200
568	227
568	166
568	300
582	296
582	401
582	274
582	283
582	245
582	303
582	181
582	198
132	204
132	164
132	226
132	212
482	255
486	262
471	283
482	271
521	235
524	247
551	252
551	291
551	311
551	416
551	309
89	258
252	313
262	404
270	409
276	411
728	197
728	180
728	274
728	248
728	193
728	181
81	204
84	207
90	124
95	135
98	147
101	165
102	172
607	212
607	231
607	233
607	100
607	110
166	111
166	121
166	122
657	124
684	135
686	147
439	155
439	160
439	161
439	163
427	164
427	165
427	166
427	170
570	172
570	173
178	180
179	181
180	184
181	189
193	191
203	192
188	193
349	197
352	198
358	420
337	416
340	412
345	409
348	405
349	403
183	319
183	317
299	418
413	415
418	411
131	408
435	404
254	401
254	318
254	316
539	200
119	205
121	208
130	212
131	216
135	227
17	233
17	236
17	241
293	238
293	235
293	231
293	226
16	213
359	209
359	207
359	204
157	243
157	245
692	244
709	246
716	248
615	247
615	252
479	249
862	155
479	253
741	255
741	257
741	262
741	263
601	264
601	258
601	266
601	271
104	272
383	273
383	274
732	283
732	284
732	276
732	288
595	285
595	290
595	299
29	292
29	295
29	296
633	291
633	300
633	301
633	306
633	307
652	308
652	309
652	311
726	313
731	314
298	318
298	401
158	317
158	319
158	316
158	249
158	300
722	312
722	110
722	291
703	165
502	173
502	257
431	180
435	245
440	160
272	191
363	204
363	246
363	181
427	205
427	213
427	238
427	295
427	299
427	317
151	313
151	247
151	258
505	285
187	262
187	274
531	263
531	292
531	317
531	401
156	412
302	420
312	272
313	408
327	283
336	296
156	292
799	170
799	163
799	180
350	236
350	207
22	205
592	181
592	243
459	189
459	200
459	216
459	300
459	198
561	244
563	233
580	266
597	308
598	318
602	252
626	290
644	317
553	243
553	271
430	285
430	121
211	189
211	231
211	235
86	193
86	212
86	184
86	213
191	258
773	262
773	276
596	244
596	271
596	420
427	110
427	231
432	204
432	246
304	258
304	197
304	155
549	192
549	286
549	216
445	307
