id_lotu	miejsce_docelowe	data	godzina
1	Kopenhaga	2014-04-01	06:20
2	Eindhoven	2014-04-01	08:05
3	Glasgow	2014-04-01	09:50
4	Monachium	2014-04-01	11:35
5	Londyn Stansed	2014-04-01	21:05
6	Frankfurt n. Menem	2014-04-01	15:05
7	Rzym	2014-04-01	16:50
8	Warszawa	2014-04-01	18:35
9	Krakow	2014-04-01	20:20
10	Dusseldorf	2014-04-01	12:40
11	Warszawa Modlin	2014-04-02	06:05
12	Paryz	2014-04-02	07:55
13	Barcelona	2014-04-02	09:40
14	Londyn Luton	2014-04-02	06:10
15	Oslo Rygge	2014-04-02	13:10
16	Frankfurt n. Menem	2014-04-02	14:55
17	Cork	2014-04-02	16:40
18	Warszawa	2014-04-02	18:25
19	Londyn Stansed	2014-04-02	20:10
20	Barcelona	2014-04-02	20:30
21	Bolonia	2014-04-02	12:15
22	Bristol	2014-04-02	21:45
23	Dusseldorf	2014-04-02	12:40
24	Liverpool	2014-04-03	06:30
25	Lizbona	2014-04-03	09:15
26	Warszawa	2014-04-03	11:00
27	Monachium	2014-04-03	12:45
28	Praga	2014-04-03	14:30
29	Glasgow	2014-04-03	16:15
30	Oslo Rygge	2014-04-03	18:00
31	Gdansk	2014-04-03	19:45
32	Kopenhaga	2014-04-03	21:30
33	Dusseldorf	2014-04-03	12:40
34	Mediolan	2014-04-04	06:50
35	Warszawa Modlin	2014-04-04	08:35
36	Oslo Torp	2014-04-04	10:20
37	Warszawa	2014-04-04	12:05
38	Zurych	2014-04-04	13:50
39	Londyn Stansed	2014-04-04	18:10
40	Kopenhaga	2014-04-04	17:20
41	Shannon	2014-04-04	19:05
42	Londyn Luton	2014-04-04	20:50
43	Dusseldorf	2014-04-04	12:40
44	Shannon	2014-04-05	07:00
45	Glasgow	2014-04-05	08:45
46	Rzym	2014-04-05	10:30
47	Warszawa	2014-04-05	12:15
48	Dublin	2014-04-05	14:00
49	Liverpool	2014-04-05	15:45
50	Frankfurt n. Menem	2014-04-05	17:30
51	East Midlands	2014-04-05	19:15
52	Warszawa Modlin	2014-04-05	21:00
53	Londyn Stansed	2014-04-05	07:10
54	Doncaster-Sheffield	2014-04-05	17:20
55	Dortmund	2014-04-05	15:25
56	Shannon	2014-04-06	08:30
57	Monachium	2014-04-06	10:15
58	Kopenhaga	2014-04-06	12:00
59	Oslo Rygge	2014-04-06	13:45
60	Dublin	2014-04-06	15:30
61	Gdansk	2014-04-06	17:15
62	Glasgow	2014-04-06	19:00
63	Warszawa Modlin	2014-04-06	20:45
64	Barcelona	2014-04-06	20:30
65	Bolonia	2014-04-06	13:50
66	Bristol	2014-04-06	21:45
67	Dusseldorf	2014-04-06	12:40
68	Gdansk	2014-04-07	06:00
69	Monachium	2014-04-07	07:45
70	Warszawa Modlin	2014-04-07	09:30
71	Eindhoven	2014-04-07	11:15
72	Londyn Stansed	2014-04-07	13:00
73	Kopenhaga	2014-04-07	14:45
74	Londyn Luton	2014-04-07	16:30
75	Warszawa	2014-04-07	18:15
76	Zurych	2014-04-07	20:00
77	Dortmund	2014-04-07	15:25
78	Dusseldorf	2014-04-07	12:40
79	Kopenhaga	2014-04-08	06:20
80	Eindhoven	2014-04-08	08:05
81	Glasgow	2014-04-08	09:50
82	Monachium	2014-04-08	11:35
83	Londyn Stansed	2014-04-08	21:05
84	Frankfurt n. Menem	2014-04-08	15:05
85	Rzym	2014-04-08	16:50
86	Warszawa	2014-04-08	18:35
87	Krakow	2014-04-08	20:20
88	Doncaster-Sheffield	2014-04-08	17:20
89	Dusseldorf	2014-04-08	12:40
90	Warszawa Modlin	2014-04-09	06:10
91	Paryz	2014-04-09	07:55
92	Barcelona	2014-04-09	09:40
93	Londyn Luton	2014-04-09	06:20
94	Oslo Rygge	2014-04-09	13:10
95	Frankfurt n. Menem	2014-04-09	14:55
96	Cork	2014-04-09	16:40
97	Warszawa	2014-04-09	18:25
98	Londyn Stansed	2014-04-09	20:10
99	Barcelona	2014-04-09	20:30
100	Bolonia	2014-04-09	12:15
101	Dusseldorf	2014-04-09	12:40
102	Liverpool	2014-04-10	06:30
103	Londyn Luton	2014-04-10	09:15
104	Warszawa	2014-04-10	11:00
105	Monachium	2014-04-10	12:45
106	Praga	2014-04-10	14:30
107	Glasgow	2014-04-10	16:15
108	Oslo Rygge	2014-04-10	18:00
109	Gdansk	2014-04-10	19:45
110	Kopenhaga	2014-04-10	21:30
111	Doncaster-Sheffield	2014-04-10	17:20
112	Dusseldorf	2014-04-10	12:40
113	Mediolan	2014-04-11	06:50
114	Warszawa Modlin	2014-04-11	08:35
115	Oslo Torp	2014-04-11	10:20
116	Warszawa	2014-04-11	12:05
117	Zurych	2014-04-11	13:50
118	Londyn Stansed	2014-04-11	18:10
119	Kopenhaga	2014-04-11	17:20
120	Shannon	2014-04-11	19:05
121	Londyn Luton	2014-04-11	20:50
122	Dusseldorf	2014-04-11	12:40
123	Shannon	2014-04-12	07:00
124	Glasgow	2014-04-12	08:45
125	Rzym	2014-04-12	10:30
126	Warszawa	2014-04-12	12:15
127	Dublin	2014-04-12	14:00
128	Liverpool	2014-04-12	15:45
129	Frankfurt n. Menem	2014-04-12	17:30
130	East Midlands	2014-04-12	19:15
131	Warszawa Modlin	2014-04-12	21:00
132	Londyn Stansed	2014-04-13	07:00
133	Shannon	2014-04-13	08:30
134	Monachium	2014-04-13	10:15
135	Kopenhaga	2014-04-13	12:00
136	Oslo Rygge	2014-04-13	13:45
137	Dublin	2014-04-13	15:30
138	Gdansk	2014-04-13	17:15
139	Glasgow	2014-04-13	19:00
140	Warszawa Modlin	2014-04-13	20:45
141	Dusseldorf	2014-04-13	12:40
142	Gdansk	2014-04-14	06:00
143	Monachium	2014-04-14	07:45
144	Warszawa Modlin	2014-04-14	09:30
145	Eindhoven	2014-04-14	11:15
146	Londyn Stansed	2014-04-14	13:00
147	Kopenhaga	2014-04-14	14:45
148	Londyn Luton	2014-04-14	16:30
149	Warszawa	2014-04-14	18:15
150	Zurych	2014-04-14	20:00
151	Dusseldorf	2014-04-14	12:40
152	Kopenhaga	2014-04-15	06:20
153	Eindhoven	2014-04-15	08:05
154	Glasgow	2014-04-15	09:50
155	Monachium	2014-04-15	11:35
156	Londyn Stansed	2014-04-15	21:05
157	Frankfurt n. Menem	2014-04-15	15:05
158	Rzym	2014-04-15	16:50
159	Warszawa	2014-04-15	18:35
160	Krakow	2014-04-15	20:20
161	Dusseldorf	2014-04-15	12:40
162	Warszawa Modlin	2014-04-16	06:25
163	Paryz	2014-04-16	07:55
164	Barcelona	2014-04-16	09:40
165	Londyn Luton	2014-04-16	06:10
166	Oslo Rygge	2014-04-16	13:10
167	Frankfurt n. Menem	2014-04-16	14:55
168	Cork	2014-04-16	16:40
169	Warszawa	2014-04-16	18:25
170	Londyn Stansed	2014-04-16	20:10
171	Barcelona	2014-04-16	20:30
172	Bristol	2014-04-16	21:45
173	Dusseldorf	2014-04-16	12:40
174	Liverpool	2014-04-17	06:30
175	Londyn Luton	2014-04-17	09:15
176	Warszawa	2014-04-17	11:00
177	Monachium	2014-04-17	12:45
178	Praga	2014-04-17	14:30
179	Glasgow	2014-04-17	16:15
180	Oslo Rygge	2014-04-17	18:00
181	Gdansk	2014-04-17	19:45
182	Kopenhaga	2014-04-17	21:30
183	Dusseldorf	2014-04-17	12:40
184	Mediolan	2014-04-18	06:50
185	Warszawa Modlin	2014-04-18	08:35
186	Oslo Torp	2014-04-18	10:20
187	Warszawa	2014-04-18	12:05
188	Zurych	2014-04-18	13:50
189	Londyn Stansed	2014-04-18	18:10
190	Kopenhaga	2014-04-18	17:20
191	Shannon	2014-04-18	19:05
192	Londyn Luton	2014-04-18	20:50
