id_drogi	nazwa	dlugosc	id_kategorii
1	Autostrada Bursztynowa	582	A
2	Autostrada Wolnosci	623	A
3	Zachodnia Droga Ekspresowa	480	S
4	Autostrada Poludniowa	670	A
5	Droga Grudziadzka	368	S
6	Autostrada Nadmorska	350	A
7	Siodemka	709	S
8	Gierkowka	850	S
9	Radom-Rzeszow	190	K
10	Autostrada Torunska	460	S
11	Droga Koszalinska	555	S
12	Droga Leknica-Drohisk	757	K
13	Droga Szczecin-Rosowek	16	K
14	Droga Lowicz-Lodz	83	K
15	Droga Trzebnica-Ostroda	374	K
16	Droga Grudziac-Ogrodniki	395	K
17	Droga Ukrainska	333	S
18	Droga Olszyna-Krzy?owa	78	K
19	Droga Wschodnia	609	S
20	Droga Stargard-Gdynia	318	K
21	Droga Miastko-Ustka	85	K
22	Berlinka	49	S
23	Droga Mysliborz-Sarbinowo	33	K
24	Droga Pniewy-Waldowice	73	K
25	Droga Bobolice-Olesnica	412	K
26	Droga Krajnik-Mysliborz	51	K
27	Droga Przewoz-Zielona Gora	74	K
28	Droga Zator-Medyka	350	K
29	Droga Slubice-Krosno Odrzanskie	58	K
30	Droga Zgorzelec-Jelenia Gora	67	K
31	Droga Szczecin-Slubice	138	K
32	Droga Gubinek-Steszew	157	K
33	Droga Klodzko-Boboszow	44	K
34	Droga Swiebodzice-Dobromierz	9	K
35	Droga Golinsk-Wroclaw	91	K
36	Droga Prochowice-Ostrow Wielkopolski	150	K
37	Droga do Darlowka	16	K
38	Droga Pietrowice-Kedzierzyn	42	K
39	Droga Lagiewniki-Kepno	116	K
40	Droga Glucholazy-Pyskowice	103	K
41	Droga Nysa-Trzebinia	33	K
42	Droga Namyslow-Rudnik	274	K
43	Droga WIelun-Czestochowa	75	K
44	Droga Gliwice-Krakow	108	K
45	Droga Zabelkow-Zloczew	217	K
46	Szlak staropolski	270	K
47	Zakopianka	40	K
48	Droga Tomaszow Mazowiecki-Kock	200	K
49	Droga Nowy Targ-Jurgow	24	K
50	Tranzytowa obwodnica Warszawy	297	K
51	Droga Bezledy-Olsztynek	122	K
52	Beskidzka Droga Integracyjna	74	K
53	Droga Olsztyn-Ostroleka	123	K
54	Droga przez Braniewo	18	K
55	Droga Nowy Dwor Gdanski-Stolno	123	K
56	Polnocna Obwodnica Bydgoszczy	20	K
57	Droga Bartoszyce-Poltusk	188	K
58	Droga Olsztynek-Szczuczyn	149	K
59	Droga Gizycko-Rozogi	90	K
60	Droga Leczyca-Ostrow Mazowiecka	243	K
61	Via Baltica	257	S
62	Droga Strzelno-Anusin	361	K
63	Droga Wegorzewo-Slawatycze	410	K
64	Droga Piatnica-Jezewo	46	K
65	Droga Goldap-Bobrowniki	224	K
66	Droga Zambrow-Polowce	114	K
67	Droga na Lipno	26	K
68	Droga na Kukuryki	12	K
69	Droga Zywiecka	49	S
70	Droga Lowicz-Huta Zawadzka	52	K
71	Obwodnica Lodzi	53	K
72	Droga Konin-Rawa Mazowiecka	170	K
73	Droga Wisniowka-Jaslo	192	K
74	Droga Wielu?-Zosin	499	K
75	Droga Krakow-Muszynka	133	K
76	Droga Wilga-Lukow	77	K
77	Droga Lipnik-Przemysl	165	K
78	Droga Chalupki-Chmielnik	230	K
79	Droga Warszawa-Krakow-Bytom	450	K
80	Droga Bydgoszcz-Torun	66	K
81	Wislanka	60	K
82	Droga Lublin-Wlodawa	87	K
83	Droga Turek-Sieradz	55	K
84	Droga Sanok-Kroscienko	48	K
85	Droga do Kazunia	4	K
86	Stara Gierkowka	39	K
87	Droga Nowy Sacz-Piwniczna	28	K
88	Gliwicka Autostrada	51	K
89	Droga na Westerplatte	10	K
90	Trasa mostowa pod Kwidzyniem	15	K
91	Stara jedynka	446	K
92	Stara dwojka	472	K
93	Droga przez Swine	14	K
94	Stara czworka	634	K
95	Grudziadzka Trasa Srednicowa	1	K
96	Droga do wezla Turzno	1	K
97	Zachodnia Obwodnica Rzeszowa	6	K
98	Droga przez Wroclaw	24	K
100	DW100	11	W
101	DW101	2	W
102	DW102	94	W
103	DW103	36	W
104	DW104	4	W
105	DW105	40	W
106	DW106	108	W
107	DW107	24	W
108	DW108	39	W
109	DW109	38	W
110	DW110	23	W
111	DW111	13	W
112	DW112	41	W
113	DW113	19	W
114	DW114	42	W
115	DW115	30	W
116	DW116	8	W
117	DW117	10	W
118	DW118	4	W
119	DW119	12	W
121	DW121	34	W
122	DW122	78	W
123	DW123	17	W
124	DW124	26	W
125	DW125	34	W
126	DW126	49	W
127	DW127	20	W
128	DW128	28	W
129	DW129	4	W
130	DW130	29	W
131	DW131	12	W
132	DW132	47	W
138	DW138	85	W
140	DW140	21	W
141	DW141	12	W
142	DW142	41	W
143	DW143	5	W
144	DW144	30	W
145	DW145	10	W
146	DW146	31	W
147	DW147	31	W
