id_stacji	id_drogi	id_sieci
1	1	6
2	1	10
3	1	10
4	1	1
5	1	10
6	1	5
7	1	8
8	1	2
9	1	10
10	1	1
11	1	4
12	1	8
13	1	8
14	1	3
15	1	7
16	1	1
17	1	4
18	1	10
19	1	1
20	1	4
21	1	6
22	1	2
23	1	3
24	1	3
25	1	7
26	1	4
27	1	4
28	1	8
29	1	9
30	1	4
31	1	9
32	1	8
33	1	2
34	1	2
35	1	6
36	1	2
37	1	6
38	1	8
39	1	3
40	1	10
41	1	5
42	1	6
43	1	6
44	1	9
45	1	2
46	1	3
47	1	1
48	1	10
49	1	2
50	1	1
51	1	5
52	1	8
53	1	5
54	1	3
55	1	9
56	1	10
57	1	9
58	1	10
59	2	8
60	2	4
61	2	8
62	2	6
63	2	2
64	2	5
65	2	10
66	2	5
67	2	1
68	2	7
69	2	1
70	2	6
71	2	3
72	2	3
73	2	3
74	2	2
75	2	7
76	2	9
77	2	10
78	2	7
79	2	9
80	2	9
81	2	5
82	2	2
83	2	2
84	2	8
85	2	10
86	2	2
87	2	9
88	2	4
89	2	7
90	2	5
91	2	7
92	2	9
93	2	3
94	2	8
95	2	3
96	2	6
97	2	4
98	2	9
99	2	5
100	2	5
101	2	1
102	2	8
103	2	7
104	2	5
105	2	4
106	2	5
107	2	5
108	2	10
109	2	5
110	2	9
111	2	5
112	2	5
113	2	7
114	2	4
115	2	8
116	2	3
117	2	10
118	2	3
119	2	5
120	2	7
121	3	4
122	3	6
123	3	5
124	3	5
125	3	1
126	3	5
127	3	9
128	3	8
129	3	10
130	3	3
131	3	7
132	3	7
133	3	10
134	3	6
135	3	8
136	3	6
137	3	8
138	3	2
139	3	6
140	3	6
141	3	1
142	3	1
143	3	1
144	3	3
145	3	1
146	3	2
147	3	1
148	3	2
149	3	3
150	3	6
151	3	3
152	3	7
153	3	1
154	3	3
155	3	10
156	3	6
157	3	1
158	3	8
159	3	3
160	3	9
161	3	8
162	3	1
163	3	2
164	3	4
165	3	4
166	3	6
167	3	5
168	3	1
169	4	6
170	4	1
171	4	7
172	4	3
173	4	7
174	4	6
175	4	3
176	4	6
177	4	2
178	4	6
179	4	7
180	4	1
181	4	10
182	4	1
183	4	10
184	4	10
185	4	2
186	4	10
187	4	1
188	4	3
189	4	3
190	4	1
191	4	8
192	4	5
193	4	5
194	4	9
195	4	1
196	4	2
197	4	2
198	4	5
199	4	6
200	4	6
201	4	3
202	4	7
203	4	7
204	4	6
205	4	4
206	4	4
207	4	5
208	4	5
209	4	3
210	4	6
211	4	1
212	4	5
213	4	4
214	4	7
215	4	2
216	4	10
217	4	2
218	4	6
219	4	7
220	4	9
221	4	8
222	4	2
223	4	8
224	4	6
225	4	6
226	4	7
227	4	5
228	4	5
229	4	7
230	4	4
231	4	1
232	4	3
233	4	5
234	4	8
235	4	5
236	5	8
237	5	2
238	5	7
239	5	7
240	5	9
241	5	6
242	5	8
243	5	4
244	5	10
245	5	2
246	5	3
247	5	3
248	5	3
249	5	2
250	5	10
251	5	10
252	5	7
253	5	3
254	5	2
255	5	7
256	5	9
257	5	6
258	5	4
259	5	4
260	5	1
261	5	8
262	5	2
263	5	9
264	5	10
265	5	1
266	5	9
267	5	1
268	5	9
269	5	9
270	5	8
271	5	8
272	6	10
273	6	10
274	6	5
275	6	5
276	6	4
277	6	6
278	6	6
279	6	5
280	6	1
281	6	8
282	6	2
283	6	10
284	6	1
285	6	7
286	6	2
287	6	1
288	6	3
289	6	10
290	6	3
291	6	8
292	6	1
293	6	3
294	6	9
295	6	8
296	6	5
297	6	3
298	6	3
299	6	6
300	6	7
301	6	8
302	6	4
303	6	1
304	6	4
305	6	4
306	6	9
307	7	1
308	7	7
309	7	5
310	7	7
311	7	3
312	7	10
313	7	7
314	7	9
315	7	3
316	7	5
317	7	2
318	7	7
319	7	6
320	7	6
321	7	3
322	7	10
323	7	5
324	7	9
325	7	1
326	7	8
327	7	2
328	7	8
329	7	3
330	7	7
331	7	3
332	7	5
333	7	8
334	7	7
335	7	5
336	7	4
337	7	5
338	7	1
339	7	5
340	7	2
341	7	6
342	7	6
343	7	9
344	7	2
345	7	10
346	7	2
347	7	6
348	7	2
349	7	10
350	7	6
351	7	4
352	7	5
353	7	8
354	7	5
355	7	2
356	7	7
357	7	9
358	7	4
359	7	5
360	7	2
361	7	10
362	7	9
363	7	7
364	7	4
365	7	10
366	7	5
367	7	6
368	7	1
369	7	5
370	7	7
371	7	4
372	7	8
373	7	6
374	7	2
375	7	10
376	7	5
377	8	8
378	8	5
379	8	4
380	8	9
381	8	6
382	8	10
383	8	10
384	8	10
385	8	4
386	8	6
387	8	8
388	8	2
389	8	1
390	8	6
391	8	3
392	8	1
393	8	8
394	8	4
395	8	7
396	8	9
397	8	3
398	8	7
399	8	1
400	8	4
401	8	10
402	8	8
403	8	2
404	8	8
405	8	4
406	8	5
407	8	9
408	8	6
409	8	8
410	8	2
411	8	5
412	8	10
413	8	3
414	8	10
415	8	9
416	8	3
417	8	6
418	8	8
419	8	4
420	8	9
421	8	5
422	8	1
423	8	2
424	8	9
425	8	8
426	8	1
427	8	6
428	8	10
429	8	7
430	8	7
431	8	1
432	8	1
433	8	3
434	8	6
435	8	4
436	8	5
437	8	7
438	8	10
439	8	1
440	8	3
441	8	9
442	8	7
443	8	3
444	8	2
445	8	5
446	8	2
447	8	2
448	8	1
449	8	2
450	8	7
451	8	1
452	8	8
453	8	1
454	8	6
455	8	10
456	8	5
457	8	2
458	8	3
459	8	9
460	8	3
461	8	9
462	9	5
463	9	6
464	9	3
465	9	9
466	9	2
467	9	5
468	9	5
469	9	10
470	9	3
471	9	7
472	9	8
473	9	3
474	9	3
475	9	10
476	9	10
477	9	5
478	9	6
479	9	10
480	9	3
481	10	9
482	10	1
483	10	8
484	10	8
485	10	6
486	10	5
487	10	1
488	10	10
489	10	5
490	10	1
491	10	3
492	10	8
493	10	8
494	10	9
495	10	3
496	10	9
497	10	2
498	10	7
499	10	3
500	10	10
501	10	10
502	10	5
503	10	5
504	10	6
505	10	9
506	10	2
507	10	8
508	10	6
509	10	1
510	10	1
511	10	10
512	10	1
513	10	1
514	10	5
515	10	2
516	10	1
517	10	5
518	10	10
519	10	4
520	10	2
521	10	8
522	10	8
523	10	1
524	10	5
525	10	1
526	10	9
527	11	2
528	11	10
529	11	5
530	11	10
531	11	8
532	11	4
533	11	8
534	11	2
535	11	9
536	11	7
537	11	7
538	11	3
539	11	3
540	11	6
541	11	4
542	11	7
543	11	7
544	11	3
545	11	8
546	11	1
547	11	10
548	11	7
549	11	3
550	11	1
551	11	4
