ID_sprzetu	Nazwa_sprzetu	Koszt_wynajecia	Kaucja
1	Agregat hydrauliczny ATLAS 	100	1200
2	Agregat jednofazowy-moc: 2,8-3,2 kW	65	1000
3	Agregat jednofazowy moc: 1,6-2,4 kW 230V	50	1000
4	Agregat pradotworczy - moc: 160 kW (200 kVA) 230V i 400V	800	2000
5	Agregat pradotworczy - moc: 240 kW (300 kVA) 230V i 400V	1150	2500
6	Agregat pradotworczy FOGO 7000	70	1200
7	Agregat pradotworczy trojfazowy ze stabilizacja HONDA ECT 7000	130	1200
8	Agregat spawalniczy EISEMANN 6.500 VA, moc jednofazowa 3,5 kW, napiecie znamionowe: 400/230 V 50 Hz	120	600
9	Agregat trojfazowy - moc: 120 kW (150 kVA) ATLAS 400 V	790	3000
10	Agregat trojfazowy - moc: 200 kW (250 kWA) 230V i 400V	1050	5000
11	Agregat trojfazowy - moc: 30 kW (35 kVA) ATLAS 230/400 V	310	1550
12	Agregat trojfazowy - moc: 36-38,4 kW ATLAS 230/400 V jednoosiowy	360	1800
13	Agregat trojfazowy - moc: 400 kW (500 kVA) 230V i 400V	2160	10000
14	Agregat trojfazowy - moc: 80 kW (100 kVA) ATLAS 400 V	500	2500
15	Agregat trojfazowy spalinowy moc: 12 kW (15 kVA) 230/400V	130	650
16	Agregat trojfazowy spalinowy moc: 5,2-5,6 kVA (6,5-7 kAV) 230/400 V	90	450
17	Agregat trojfazowy spalinowy moc: 8 kW (10 kVA) 230/400 V	110	550
18	Agregat trojfazowy turbo diesel moc: 16 kW (20 kVA) HIMOINSA: HYW 20 230/400 V	220	1100
19	Betoniarka  250 l, zasilanie 230 V, moc 0,35 kW	50	400
20	Betoniarka 100 Pojemnosc 100 l, zasilanie 230 V, moc 0,35 kW	26	300
21	Betoniarka 120 l, zasilanie 230 V, moc 0,35 kW	20	300
22	Betoniarka 150  Pojemnosc: 150 l, zasilanie 230 V, moc: 0,75 kW	32	300
23	Betoniarka 160 l, zasilanie 230 V, moc 0,75 kW	50	400
24	Betoniarka 250 Pojemnosc: 250 l, zasilanie: 400 V, moc: 1,5 kW	41	500
