id_gminy	id_powiatu	nazwa_gminy
0201022	0201	Boleslawiec
0201011	0201	Boleslawiec
0201032	0201	Gromadka
0201043	0201	Nowogrodziec
0201052	0201	Osiecznica
0201062	0201	Warta Boleslawiecka
0202011	0202	Bielawa
0202052	0202	Dzierzoniow
0202021	0202	Dzierzoniow
0202062	0202	Lagiewniki
0202073	0202	Niemcza
0202031	0202	Pieszyce
0202041	0202	Pilawa Gorna
0203022	0203	Glogow
0203011	0203	Glogow
0203032	0203	Jerzmanowa
0203042	0203	Kotla
0203052	0203	Peclaw
0203062	0203	Zukowice
0204013	0204	Gora
0204022	0204	Jemielno
0204032	0204	Niechlow
0204043	0204	Wasosz
0205023	0205	Bolkow
0205011	0205	Jawor
0205032	0205	Mecinka
0205042	0205	Msciwojow
0205052	0205	Paszowice
0205062	0205	Wadroze Wielkie
0261011	0261	Jelenia Gora
0206052	0206	Janowice Wielkie
0206062	0206	Jezow Sudecki
0206011	0206	Karpacz
0206021	0206	Kowary
0206072	0206	Myslakowice
0206031	0206	Piechowice
0206082	0206	Podgorzyn
0206092	0206	Stara Kamienica
0206041	0206	Szklarska Poreba
0207022	0207	Kamienna Gora
0207011	0207	Kamienna Gora
0207033	0207	Lubawka
0207042	0207	Marciszow
0208063	0208	Bystrzyca Klodzka
0208011	0208	Duszniki-Zdroj
0208072	0208	Klodzko
0208021	0208	Klodzko
0208031	0208	Kudowa-Zdroj
0208083	0208	Ladek-Zdroj
0208092	0208	Lewin Klodzki
0208103	0208	Miedzylesie
0208112	0208	Nowa Ruda
0208041	0208	Nowa Ruda
0208051	0208	Polanica-Zdroj
0208123	0208	Radkow
0208133	0208	Stronie Slaskie
0208143	0208	Szczytna
0262011	0262	Legnica
0209022	0209	Chojnow
0209011	0209	Chojnow
0209032	0209	Krotoszyce
0209042	0209	Kunice
0209052	0209	Legnickie Pole
0209062	0209	Milkowice
0209073	0209	Prochowice
0209082	0209	Ruja
0210033	0210	Lesna
0210042	0210	Luban
0210011	0210	Luban
0210052	0210	Olszyna
0210062	0210	Platerowka
0210072	0210	Siekierczyn
0210021	0210	Swieradow-Zdroj
0211022	0211	Lubin
0211011	0211	Lubin
0211032	0211	Rudna
0211043	0211	Scinawa
0212013	0212	Gryfow Slaski
0212023	0212	Lubomierz
0212033	0212	Lwowek Slaski
0212043	0212	Mirsk
0212053	0212	Wlen
0213012	0213	Cieszkow
0213022	0213	Krosnice
0213033	0213	Milicz
0214023	0214	Bierutow
0214032	0214	Dobroszyce
0214042	0214	Dziadowa Kloda
0214053	0214	Miedzyborz
0214062	0214	Olesnica
0214011	0214	Olesnica
0214073	0214	Sycow
0214083	0214	Twardogora
0215022	0215	Domaniow
0215033	0215	Jelcz-Laskowice
0215042	0215	Olawa
0215011	0215	Olawa
0216013	0216	Chocianow
0216022	0216	Gaworzyce
0216032	0216	Grebocice
0216043	0216	Polkowice
0216053	0216	Przemkow
0216062	0216	Radwanice
0217012	0217	Borow
0217022	0217	Kondratowice
0217032	0217	Przeworno
0217043	0217	Strzelin
0217053	0217	Wiazow
0218012	0218	Kostomloty
0218022	0218	Malczyce
0218032	0218	Miekinia
0218043	0218	Sroda Slaska
0218052	0218	Udanin
0219032	0219	Dobromierz
0219043	0219	Jaworzyna Slaska
0219052	0219	Marcinowice
0219063	0219	Strzegom
0219072	0219	Swidnica
0219011	0219	Swidnica
0219021	0219	Swiebodzice
0219083	0219	Zarow
0220013	0220	Oborniki Slaskie
0220023	0220	Prusice
0220033	0220	Trzebnica
0220042	0220	Wisznia Mala
0220052	0220	Zawonia
0220063	0220	Zmigrod
0221011	0221	Boguszow-Gorce
0221042	0221	Czarny Bor
0221053	0221	Gluszyca
0221021	0221	Jedlina-Zdroj
0221063	0221	Mieroszow
0221072	0221	Stare Bogaczowice
0221031	0221	Szczawno-Zdroj
0221082	0221	Walim
0265001	0265	Walbrzych
0222013	0222	Brzeg Dolny
0222022	0222	Winsko
0222033	0222	Wolow
0223012	0223	Czernica
0223022	0223	Dlugoleka
0223032	0223	Jordanow Slaski
0223043	0223	Katy Wroclawskie
0223052	0223	Kobierzyce
0223062	0223	Mietkow
0223083	0223	Siechnice
