id_miejscowosci	id_gminy	nazwa_miejscowosci	typ_miejscowosci
0162398	2206032	Abisynia	osada
0954722	0609052	Abramowice Koscielne	wies
0380988	0609052	Abramowice Prywatne	wies
0887629	0602062	Abramow	wies
0378052	0608022	Abramow	wies
0673733	1412093	Abramy	wies
0033092	2011052	Achrymowce	wies
0795726	2609032	Adamczowice	wies
0505929	1415012	Adamczycha	wies
0271532	2605083	Adamek	wies
0825189	1204052	Adamierz	wies
0301233	3023083	Adamierz	wies
0289992	3009092	Adamin	wies
0871522	0418132	Adaminowo	wies
0720119	1011062	Adamka	wies
0872272	0405062	Adamki	wies
0697716	1014023	Adamki	wies
0745757	2203052	Adamki	osada
0088621	0416032	Adamkowo	wies
0731703	1428042	Adamowa Gora	wies
0568628	1002062	Adamowice	wies
0319032	1208022	Adamowice	wies
0732335	1438023	Adamowice	wies
0216295	2412042	Adamowice	wies
0002111	1405043	Adamowizna	wies
0770011	2012082	Adamowizna	wies
0844703	0402073	Adamowo	wies
0861311	0408032	Adamowo	wies
0099978	0413043	Adamowo	kolonia
0508566	1411022	Adamowo	wies
0126468	1413052	Adamowo	wies
0116582	1420062	Adamowo	wies
0120690	1420082	Adamowo	wies
0571168	1427032	Adamowo	wies
0509169	1435022	Adamowo	wies
0111952	1437013	Adamowo	wies
0034921	2010052	Adamowo	osada
0157026	2216032	Adamowo	wies
0117890	2803043	Adamowo	wies
0149222	2804012	Adamowo	wies
0157948	2807063	Adamowo	wies
0471403	2814023	Adamowo	wies
0286189	3010043	Adamowo	wies
0373965	3013033	Adamowo	osada
0916220	3029033	Adamowo	wies
0099984	0413043	Adamowo-Lesnictwo	osada lesna
0034915	2010052	Adamowo-Zastawa	wies
0105414	0603152	Adamow	kolonia
0101882	0610012	Adamow	wies
0667891	0611032	Adamow	wies
0884861	0620012	Adamow	wies
0535184	1001022	Adamow	kolonia
0541530	1001042	Adamow	osada
0725341	1021022	Adamow	wies
0568887	1002062	Adamow	wies
0546880	1007043	Adamow	wies
0547773	1007052	Adamow	wies
0557576	1007082	Adamow	wies
0544964	1010052	Adamow	wies
0556128	1010112	Adamow	wies
0710256	1011033	Adamow	wies
0544734	1012092	Adamow	wies
0734156	1015072	Adamow	wies
0536806	1016032	Adamow	wies
0632651	1401022	Adamow	wies
0577627	1404052	Adamow	wies
0002157	1405043	Adamow	wies
0619142	1407022	Adamow	wies
0636229	1409052	Adamow	wies
0670210	1412062	Adamow	wies
0693411	1433092	Adamow	wies
0134083	2404052	Adamow	wies
0142600	2404132	Adamow	osada lesna
0269908	2605072	Adamow	wies
0797100	2606032	Adamow	wies
0801177	2606043	Adamow	wies
0230622	2611022	Adamow	wies
0283191	3010013	Adamow	wies
0288930	3010062	Adamow	wies
0616422	1406032	Adamow Drwalewski	wies
0616439	1406032	Adamow Rososki	wies
0735196	1438042	Adamow-Parcel	wies
0735210	1438042	Adamow-Wies	wies
0001117	1414022	Adamowek	wies
0732341	1438023	Adamowek	wies
0907190	0606112	Adamowka	wies
0598569	1814022	Adamowka	wies
0805650	2612062	Adamowka	osada lesna
0110674	0619082	Adampol	kolonia
0110697	0619082	Adampol	osada
0110680	0619082	Adampol	osada lesna
0675376	1433032	Adampol	wies
0673124	1434062	Adampol	wies
0409137	2006062	Adamusy	wies
0523459	1435062	Adelin	wies
0904776	0604082	Adelina	wies
0379778	0612012	Adelina	wies
0552308	1010093	Adelinow	wies
0538981	2605012	Adelinow	kolonia
0107420	0603112	Adolfin	kolonia
0630474	1425082	Adolfin	wies
0550812	1010082	Adolfinow	osada
0593514	3005043	Adolfowo	wies
0416947	1020092	Adolfow	wies
0669370	1429032	Adolfow	wies
0557582	1007082	Afryka	wies
1027225	0607042	Agatowka	osada lesna
0808660	0607072	Agatowka	wies
0811075	1818062	Agatowka	wies
0497271	1605023	Agnieszczyn	osada
0866231	0418123	Agnieszkowo	wies
0578213	1427062	Agnieszkowo	wies
0536829	1016032	Agnopol	wies
0757039	2012022	Agrafinowka	wies
0602207	1813032	Aksmanice	wies
0273608	2604182	Akwizgran	wies
0583875	3005023	Albertowsko	wies
0389699	0610052	Albertow	wies
0705574	1008062	Albertow	wies
0544438	1016062	Albertow	wies
0550031	1016072	Albertow	wies
0137785	2406032	Albertow	wies
0298206	3027082	Albertow	wies
0654635	1810042	Albigowa	wies
0413498	1020052	Albinow	wies
0676559	1426032	Albinow	wies
0675873	1429053	Albinow	wies
0887641	0602062	Albinow Duzy	wies
0887658	0602062	Albinow Maly	wies
0414285	1020062	Aleksandria	wies
0120709	1420082	Aleksandria	wies
0734601	1438032	Aleksandria	wies
0135208	2404072	Aleksandria	wies
0194843	3007022	Aleksandria	wies
0105420	0603152	Aleksandria Krzywowolska	wies
0105443	0603152	Aleksandria Niedzialowska	wies
0882425	0222022	Aleksandrowice	wies
0343504	1206162	Aleksandrowice	wies
0088710	0403032	Aleksandrowiec	osada lesna
0084333	0403032	Aleksandrowo	wies
0864232	0408062	Aleksandrowo	kolonia
0859076	0418043	Aleksandrowo	wies
0079289	0419013	Aleksandrowo	wies
0512881	1415062	Aleksandrowo	wies
0521992	1415112	Aleksandrowo	wies
0576415	1419142	Aleksandrowo	wies
0507220	1422023	Aleksandrowo	przysiolek
0760662	2009032	Aleksandrowo	wies
0028435	2010042	Aleksandrowo	wies
0753225	2012012	Aleksandrowo	wies
1047334	2816023	Aleksandrowo	kolonia
0764000	2816023	Aleksandrowo	osada
0369722	3004023	Aleksandrowo	osada
0593715	3005043	Aleksandrowo	osada lesna
0183874	3014033	Aleksandrowo	osada
0531571	3028062	Aleksandrowo	wies
0885470	0602022	Aleksandrow	wies
0791970	0607042	Aleksandrow	wies
0679322	0611052	Aleksandrow	wies
0689177	0611072	Aleksandrow	wies
0541380	1001042	Aleksandrow	wies
0711468	1001062	Aleksandrow	wies
0577194	1002102	Aleksandrow	wies
0580090	1002113	Aleksandrow	wies
0534368	1010012	Aleksandrow	wies
0541078	1012053	Aleksandrow	wies
0723247	1013023	Aleksandrow	wies
0554448	1016102	Aleksandrow	wies
0642106	1401063	Aleksandrow	wies
0678274	1403062	Aleksandrow	wies
0574391	1404042	Aleksandrow	wies
0631290	1406092	Aleksandrow	wies
0628537	1407062	Aleksandrow	wies
0005569	1408032	Aleksandrow	wies
0636235	1409052	Aleksandrow	wies
0673466	1412082	Aleksandrow	wies
0001123	1414022	Aleksandrow	wies
0001502	1418013	Aleksandrow	wies
0625332	1425062	Aleksandrow	wies
0566003	1428032	Aleksandrow	wies
0736505	1428062	Aleksandrow	wies
0615701	1430012	Aleksandrow	wies
0739202	1438052	Aleksandrow	wies
0143260	1608043	Aleksandrow	wies
0134806	2404063	Aleksandrow	wies
0141640	2406062	Aleksandrow	wies
0266778	2602063	Aleksandrow	wies
0262600	2608043	Aleksandrow	wies
0204116	3007072	Aleksandrow	wies
0281789	3009032	Aleksandrow	wies
0590668	3025032	Aleksandrow	osada
0292480	3027062	Aleksandrow	wies
0636241	1409052	Aleksandrow Duzy	wies
0135102	2404063	Aleksandrow k. Wasosza	wies
0985384	0401011	Aleksandrow Kujawski	miasto
0958654	1020043	Aleksandrow Lodzki	miasto
1062718	0418043	Aleksandrowek	osada
0706852	1003023	Aleksandrowek	wies
0284517	1004042	Aleksandrowek	wies
0711422	1011033	Aleksandrowek	wies
0284664	3010022	Aleksandrowek	wies
0011593	0601042	Aleksandrowka	wies
0106566	0603102	Aleksandrowka	kolonia
0787916	0605012	Aleksandrowka	wies
0385974	0608082	Aleksandrowka	wies
0691234	0611082	Aleksandrowka	wies
0580109	1002113	Aleksandrowka	wies
0702392	1011012	Aleksandrowka	wies
0613955	1406012	Aleksandrowka	wies
0627302	1407053	Aleksandrowka	wies
0669890	1412052	Aleksandrowka	wies
0671970	1433022	Aleksandrowka	wies
0631746	1436022	Aleksandrowka	wies
0032661	2011042	Aleksandrowka	kolonia
