id_powiatu	id_wojewodztwa	nazwa_powiatu
0201	02	boleslawiecki
0202	02	dzierzoniowski
0203	02	glogowski
0204	02	gorowski
0205	02	jaworski
0261	02	Jelenia Gora
0206	02	jeleniogorski
0207	02	kamiennogorski
0208	02	klodzki
0262	02	Legnica
0209	02	legnicki
0210	02	lubanski
0211	02	lubinski
0212	02	lwowecki
0213	02	milicki
0214	02	olesnicki
0215	02	olawski
0216	02	polkowicki
0217	02	strzelinski
0218	02	sredzki
0219	02	swidnicki
0220	02	trzebnicki
0221	02	walbrzyski
0265	02	Walbrzych
0222	02	wolowski
0223	02	wroclawski
0264	02	Wroclaw
0224	02	zabkowicki
0225	02	zgorzelecki
0226	02	zlotoryjski
0401	04	aleksandrowski
0402	04	brodnicki
0403	04	bydgoski
0461	04	Bydgoszcz
0404	04	chelminski
0405	04	golubsko-dobrzynski
0462	04	Grudziadz
0406	04	grudziadzki
0407	04	inowroclawski
0408	04	lipnowski
0409	04	mogilenski
0410	04	nakielski
0411	04	radziejowski
0412	04	rypinski
0413	04	sepolenski
0414	04	swiecki
0415	04	torunski
0463	04	Torun
0416	04	tucholski
0417	04	wabrzeski
0464	04	Wloclawek
0418	04	wloclawski
0419	04	zninski
0601	06	bialski
0661	06	Biala Podlaska
0602	06	bilgorajski
0662	06	Chelm
0603	06	chelmski
0604	06	hrubieszowski
0605	06	janowski
0606	06	krasnostawski
0607	06	krasnicki
0608	06	lubartowski
0609	06	lubelski
0663	06	Lublin
0610	06	leczynski
0611	06	lukowski
0612	06	opolski
0613	06	parczewski
0614	06	pulawski
0615	06	radzynski
0616	06	rycki
0617	06	swidnicki
0618	06	tomaszowski
0619	06	wlodawski
0620	06	zamojski
0664	06	Zamosc
0801	08	gorzowski
0861	08	Gorzow Wielkopolski
0802	08	krosnienski
0803	08	miedzyrzecki
0804	08	nowosolski
0805	08	slubicki
0806	08	strzelecko-drezdenecki
0807	08	sulecinski
0808	08	swiebodzinski
0812	08	wschowski
0862	08	Zielona Gora
0809	08	zielonogorski
0810	08	zaganski
0811	08	zarski
1001	10	belchatowski
1021	10	brzezinski
1002	10	kutnowski
1003	10	laski
1004	10	leczycki
1005	10	lowicki
1006	10	lodzki wschodni
1061	10	Lodz
