ASN	ID_kraju	region	siec
174	us	arin	COGENT-174 - Cogent Communications
209	us	arin	ASN-QWEST - Qwest Communications Company, LLC
1267	it	ripencc	ASN-INFOSTRADA WIND Telecomunicazioni S.p.A.
1680	il	ripencc	NV-ASN 013 NetVision Ltd.
1764	at	ripencc	NEXTLAYER-AS next layer Telekommunikationsdienstleistungs- GmbH
1836	ch	ripencc	GREEN green.ch AG Autonomous System
2042	my	apnic	ERX-JARING JARING Communications Sdn Bhd
2514	jp	apnic	INFOSPHERE NTT PC Communications, Inc
2607	sk	ripencc	SANET Slovak Academic Network
2914	us	arin	NTT-COMMUNICATIONS-2914 - NTT America, Inc
3188	tr	ripencc	ALASTYR Alastyr Telekomunikasyon Internet Bilgisayar Hizmetleri Sanayi Ticaret Limited Sirketi
3216	ru	ripencc	SOVAM-AS OJSC _Vimpelcom_
3303	ch	ripencc	SWISSCOM Swisscom (Switzerland) Ltd
3320	de	ripencc	DTAG Deutsche Telekom AG
3549	us	arin	LVLT-3549 - Level 3 Communications, Inc
3595	us	arin	GNAXNET-AS - Global Net Access, LLC
3758	sg	apnic	ERX-SINGNET SingNet
3786	us	arin	DIALOG-AS - PROQUEST LLC
3842	us	arin	RAMNODE - RamNode LLC
4134	cn	apnic	CHINANET-BACKBONE No.31,Jin-rong Street
4685	jp	apnic	ASAHI-NET Asahi Net
4713	jp	apnic	OCN NTT Communications Corporation
4780	tw	apnic	SEEDNET Digital United Inc
4837	cn	apnic	CHINA169-BACKBONE CNCGROUP China169 Backbone
4906	us	arin	FDS-01 - Frontline Data Services, Inc
5396	it	ripencc	MC-LINK MC-link Spa
5577	lu	ripencc	ROOT root SA
5588	cz	ripencc	GTSCE T-Mobile Czech Republic a.s.
5602	it	ripencc	KPNQwest Italia S.p.a,
6724	de	ripencc	STRATO STRATO AG
6799	gr	ripencc	OTENET-GR Ote SA (Hellenic Telecommunications Organisation)
6830	at	ripencc	LGI-UPC Liberty Global Operations B.V.
6939	us	arin	HURRICANE - Hurricane Electric, Inc
7162	br	lacnic	Universo Online S.A.
7393	us	arin	CYBERCON - CYBERCON, INC.
7506	jp	apnic	INTERQ GMO Internet,Inc
7557	kr	apnic	KTNET-AS Korea Trade Network
7643	vn	apnic	VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT)
8001	us	arin	NET-ACCESS-CORP - Net Access Corporation
8100	us	arin	ASN-QUADRANET-GLOBAL - QuadraNet, Inc
8218	fr	ripencc	NEO-ASN Neo Telecoms S.A.S.
8419	gb	ripencc	HOTCHILLI HotChilli Internet Limited
8426	gb	ripencc	CLARANET-AS ClaraNET LTD
8560	de	ripencc	ONEANDONE-AS 1&1 Internet AG
8612	it	ripencc	TISCALI-IT Tiscali Italia S.P.A.
8685	tr	ripencc	DORUKNET Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.
8912	gb	ripencc	NETBENEFIT Peer 1 Network Enterprises Limited
8972	de	ripencc	PLUSSERVER-AS PlusServer AG
9115	gb	ripencc	INFB-AS9115 Internet Names For Business
9116	il	ripencc	GOLDENLINES-ASN 012 Smile Communications Ltd.
9121	tr	ripencc	TTNET Turk Telekomunikasyon Anonim Sirketi
9123	ru	ripencc	TIMEWEB-AS OOO TimeWeb
9198	kz	ripencc	KAZTELECOM-AS JSC Kazakhtelecom
9280	au	apnic	CIA-AS Bucan Holdings Pty Ltd
9293	hk	apnic	HKNET-VIPNET NTT Com Asia Limited
9318	kr	apnic	HANARO-AS Hanaro Telecom Inc.
9597	jp	apnic	CPI-NET KDDI Web Communications Inc.
