nazwa	rodzaj	masa	VAT	EAN
MON CHERI T15X96 CRT PRA/INC POL	bombonierka	157,5	0,23	4008400102528
ROCHER T16X125	bombonierka	200	0,23	8009500003787
RAFFAELLO T15X120	bombonierka	150	0,23	8009500023976
KINDER SORPRESA T4X128	baton	80	0,23	8009500035184
RAFFAELLO T24X6	bombonierka	240	0,23	5413548040912
RONDNOIR T12X5 CRT	bombonierka	120	0,23	8009500078358
PRESTIGE T14X14 A/CTZ EAS POL 11	bombonierka	147	0,23	4008400131320
RAFFAELLO T14X72 CCRT S/VAL POL 11	bombonierka	140	0,23	4008400181424
FERRERO COLLECTION T24X48 PRT AUT POL	bombonierka	247	0,23	4008400898223
RAFFAELLO T30X40	bombonierka	300	0,23	5413548040875
KINDER SCHOKOBONS G125X16	baton	125	0,23	5413548280189
HOOP COLA GAZ Z CYTRYNA	napoje	1000	0,23	5901597860242
PROSZEK DO PIECZENIA	dodatki	15	0,23	5909437010342
PROSZEK DO PIECZENIA OPAKOWANIE 30 SZTUK	dodatki	30	0,23	5909437010373
CUKIER WANILINOWY	dodatki	8	0,23	5909437012247
CUKIER WANILINOWY	dodatki	24	0,23	5909437012278
ZELATYNA TORBA ZE STRUNA	dodatki	50	0,08	5909552000365
PROSZEK DO PIECZENIA 2-PACK	dodatki	30	0,23	5909552000372
CUKIER WANILINOWY	dodatki	16	0,23	5909552000440
MLECZNA LAKA	czekolada	200	0,23	5909915001275
PRESTIGE T21X4 CTIER	bombonierka	246	0,23	8009500005187
ROCHER T24X4 P/DIA	bombonierka	300	0,23	8009500009673
KINDER SOFTY NC T10X21	baton	100	0,23	8009500022955
RAFFAELLO T(4X2)X16	bombonierka	80	0,23	8009500023754
MIDI MIX T1X24	baton	85	0,23	8009500027059
KINDER BUENO T(2X3)X10	baton	129	0,23	8009500029350
MON CHERI T14X9	bombonierka	147	0,23	8009500054321
KINDER DELICE KOKOS B	baton	42	0,23	8009500061787
KINDER CHOCOLATE T16X10	baton	200	0,23	8009500071083
RONDNOIR T24X5 CRT	bombonierka	240	0,23	8009500078389
ROCHER T16X60	bombonierka	200	0,23	8009500084649
MILK	czekolada	100	0,23	3045140105502
MILKA WHOLE HAZELNUT	czekolada	100	0,23	3045140118502
RAISINS&NUTS	czekolada	100	0,23	3045140280902
FITNESS Z CZEKOLADA I POMARANCZA 6-PAK PLATKI I MLEKO	przetwory zbozowe	20	0,05	3387399320702
FERRERO COLLECTION T16X72 PRT CHR POL	bombonierka	168	0,23	4008400130828
KINDER MLECZNA KANAPKA	baton	280	0,23	4008400191423
KINDER UOVO MAXI K2,5X96 PZ PAS POL 11	baton	100	0,23	4008400231327
KINDER PINGUI KAKAO REST	baton	30	0,23	4008400290126
KINDER DUPLO T	baton	364	0,23	4008400300825
KINDER DUPLO ST	baton	182	0,23	4008400301020
TIC TAC M	cukierki	49	0,23	4008400395029
TIC TAC A	cukierki	49	0,23	4008400399324
KINDER FIGURA CAVA G110X144 CON PAS POL 11	baton	110	0,23	4008400521824
KINDER MAXI KING	baton	35	0,23	4008400553023
KAWA ROZPUSZCZALNA KRONUNG NIGHT & DAY	uzywki	100	0,23	4009508046506
LEIBNIZ MINIS	ciastka	100	0,23	4017100101700
