data	km
2014-01-01	159
2014-01-02	82
2014-01-03	108
2014-01-04	149
2014-01-05	118
2014-01-06	99
2014-01-07	67
2014-01-08	152
2014-01-09	84
2014-01-10	144
2014-01-11	16
2014-01-12	124
2014-01-13	65
2014-01-14	101
2014-01-15	19
2014-01-16	31
2014-01-17	109
2014-01-18	40
2014-01-19	70
2014-01-20	34
2014-01-21	111
2014-01-22	125
2014-01-23	76
2014-01-24	125
2014-01-25	23
2014-01-26	93
2014-01-27	111
2014-01-28	52
2014-01-29	65
2014-01-30	120
2014-01-31	113
2014-02-01	110
2014-02-02	135
2014-02-03	37
2014-02-04	113
2014-02-05	79
2014-02-06	94
2014-02-07	35
2014-02-08	54
2014-02-09	57
2014-02-10	147
2014-02-11	144
2014-02-12	50
2014-02-13	129
2014-02-14	71
2014-02-15	125
2014-02-16	97
2014-02-17	104
2014-02-18	108
2014-02-19	61
2014-02-20	35
2014-02-21	40
2014-02-22	23
2014-02-23	116
2014-02-24	77
2014-02-25	126
2014-02-26	123
2014-02-27	33
2014-02-28	34
2014-03-01	137
2014-03-02	39
2014-03-03	99
2014-03-04	65
2014-03-05	81
2014-03-06	42
2014-03-07	73
2014-03-08	95
2014-03-09	70
2014-03-10	18
2014-03-11	140
2014-03-12	35
2014-03-13	65
2014-03-14	225
2014-03-15	138
2014-03-16	64
2014-03-17	73
2014-03-18	109
2014-03-19	69
2014-03-20	21
2014-03-21	116
2014-03-22	47
2014-03-23	59
2014-03-24	85
2014-03-25	46
2014-03-26	41
2014-03-27	102
2014-03-28	129
2014-03-29	22
2014-03-30	25
2014-03-31	26
2014-04-01	84
2014-04-02	129
2014-04-03	18
2014-04-04	60
2014-04-05	25
2014-04-06	126
2014-04-07	35
2014-04-08	143
2014-04-09	89
2014-04-10	60
2014-04-11	52
2014-04-12	24
2014-04-13	80
2014-04-14	79
2014-04-15	115
2014-04-16	55
2014-04-17	124
2014-04-18	104
2014-04-19	20
2014-04-20	68
2014-04-21	25
2014-04-22	93
2014-04-23	49
2014-04-24	29
2014-04-25	59
2014-04-26	65
2014-04-27	25
2014-04-28	3
2014-04-29	58
2014-04-30	35
2014-05-01	146
2014-05-02	45
2014-05-03	127
2014-05-04	48
2014-05-05	128
2014-05-06	115
2014-05-07	103
2014-05-08	21
2014-05-09	150
2014-05-10	49
2014-05-11	20
2014-05-12	120
2014-05-13	39
2014-05-14	15
2014-05-15	118
2014-05-16	37
2014-05-17	107
2014-05-18	51
2014-05-19	76
2014-05-20	41
2014-05-21	149
2014-05-22	72
2014-05-23	83
2014-05-24	101
2014-05-25	43
2014-05-26	59
2014-05-27	81
2014-05-28	89
2014-05-29	43
2014-05-30	67
2014-05-31	122
2014-06-01	100
2014-06-02	145
2014-06-03	36
2014-06-04	75
2014-06-05	132
2014-06-06	51
2014-06-07	32
2014-06-08	130
2014-06-09	25
2014-06-10	60
2014-06-11	104
2014-06-12	118
2014-06-13	35
2014-06-14	96
2014-06-15	23
2014-06-16	109
2014-06-17	39
2014-06-18	136
2014-06-19	132
2014-06-20	92
2014-06-21	49
2014-06-22	146
2014-06-23	90
2014-06-24	74
2014-06-25	97
2014-06-26	148
2014-06-27	65
2014-06-28	62
2014-06-29	130
2014-06-30	39
2014-07-01	95
2014-07-02	100
2014-07-03	75
2014-07-04	27
2014-07-05	56
2014-07-06	141
2014-07-07	120
2014-07-08	95
2014-07-09	81
2014-07-10	30
2014-07-11	76
2014-07-12	67
2014-07-13	102
2014-07-14	67
2014-07-15	25
2014-07-16	69
2014-07-17	61
2014-07-18	99
2014-07-19	16
2014-07-20	102
2014-07-21	67
2014-07-22	51
2014-07-23	34
2014-07-24	108
2014-07-25	64
2014-07-26	53
2014-07-27	66
2014-07-28	109
2014-07-29	70
2014-07-30	29
2014-07-31	41
2014-08-01	41
2014-08-02	116
2014-08-03	128
2014-08-04	66
2014-08-05	129
2014-08-06	41
2014-08-07	51
2014-08-08	72
2014-08-09	30
2014-08-10	95
2014-08-11	104
2014-08-12	16
2014-08-13	34
2014-08-14	39
2014-08-15	133
2014-08-16	114
2014-08-17	37
2014-08-18	41
2014-08-19	147
2014-08-20	78
2014-08-21	106
2014-08-22	124
2014-08-23	97
2014-08-24	45
2014-08-25	132
2014-08-26	107
2014-08-27	54
2014-08-28	116
2014-08-29	99
2014-08-30	29
2014-08-31	72
2014-09-01	94
2014-09-02	97
2014-09-03	138
2014-09-04	60
2014-09-05	144
2014-09-06	49
2014-09-07	125
2014-09-08	40
2014-09-09	135
2014-09-10	86
2014-09-11	95
2014-09-12	42
2014-09-13	82
2014-09-14	26
2014-09-15	114
2014-09-16	49
2014-09-17	138
2014-09-18	47
2014-09-19	85
2014-09-20	50
2014-09-21	133
2014-09-22	128
2014-09-23	138
2014-09-24	25
2014-09-25	133
2014-09-26	110
2014-09-27	24
2014-09-28	65
2014-09-29	61
2014-09-30	45
2014-10-01	49
2014-10-02	57
2014-10-03	109
2014-10-04	106
2014-10-05	17
2014-10-06	99
2014-10-07	30
2014-10-08	33
2014-10-09	102
2014-10-10	175
2014-10-11	124
2014-10-12	121
2014-10-13	60
2014-10-14	55
2014-10-15	116
2014-10-16	123
2014-10-17	123
2014-10-18	145
2014-10-19	87
2014-10-20	117
2014-10-21	61
2014-10-22	94
2014-10-23	113
2014-10-24	144
2014-10-25	66
2014-10-26	69
2014-10-27	127
2014-10-28	112
2014-10-29	99
2014-10-30	60
2014-10-31	118
2014-11-01	55
2014-11-02	133
2014-11-03	110
2014-11-04	145
2014-11-05	125
2014-11-06	103
2014-11-07	143
2014-11-08	50
2014-11-09	105
2014-11-10	101
2014-11-11	114
2014-11-12	106
2014-11-13	79
2014-11-14	20
2014-11-15	27
2014-11-16	23
2014-11-17	106
2014-11-18	90
2014-11-19	119
2014-11-20	110
2014-11-21	23
2014-11-22	53
2014-11-23	89
2014-11-24	150
2014-11-25	44
2014-11-26	137
2014-11-27	49
2014-11-28	24
2014-11-29	36
2014-11-30	33
2014-12-01	81
2014-12-02	70
2014-12-03	48
2014-12-04	72
2014-12-05	121
2014-12-06	16
2014-12-07	94
2014-12-08	120
2014-12-09	49
2014-12-10	106
2014-12-11	128
2014-12-12	100
2014-12-13	78
2014-12-14	39
2014-12-15	125
2014-12-16	34
2014-12-17	129
2014-12-18	112
2014-12-19	78
2014-12-20	114
2014-12-21	122
2014-12-22	42
2014-12-23	149
2014-12-24	113
2014-12-25	133
2014-12-26	57
2014-12-27	27
2014-12-28	142
2014-12-29	24
2014-12-30	156
2014-12-31	141
