data	nazwa	ISIN	kurs_zamkniecia	wolumen	obrot	pakiet_wig				
2015-01-21	06MAGNA	PLNFI0600010	2,09	9	18	6496000				
2015-01-21	08OCTAVA	PLNFI0800016	0,79	25	21	22309000				
2015-01-21	4FUNMEDIA	PL4FNMD00013	5,8	1090	6270	1852000				
2015-01-21	ABCDATA	PLABCDT00014	3,37	10129	34090	48206000				
2015-01-21	ABMSOLID	PLABMSD00015	0,3	0	0	0				
2015-01-21	ABPL	PLAB00000019	32,5	894	29050	13122000				
2015-01-21	ACAUTOGAZ	PLACSA000014	27,5	718	19710	8143000				
2015-01-21	ACE	LU0299378421	8,24	648	5340	17461000				
2015-01-21	ACTION	PLACTIN00018	44,89	4548	204890	8852000				
2015-01-21	ADVADIS	PLMBRST00015	0,01	0	0	0				
2015-01-21	AGORA	PLAGORA00067	7,95	25	200	43035000				
2015-01-21	AGROTON	CY0101062111	1,37	10228	13810	0				
2015-01-21	AGROWILL	LT0000127466	1	0	0	0				
2015-01-21	ALCHEMIA	PLGRBRN00012	5,08	1200234	6091020	29399000				
2015-01-21	ALIOR	PLALIOR00045	79,79	62843	4999620	43097000				
2015-01-21	ALMA	PLKRCHM00015	14,14	408	5810	3975000				
2015-01-21	ALTA	PLTRNSU00013	2,1	4664	9710	7353000				
2015-01-21	ALTERCO	PLSRBEX00014	0,64	0	0	0				
2015-01-21	ALTUSTFI	PLATTFI00018	9	232624	2099590	24397000				
2015-01-21	ALUMETAL	PLALMTL00023	44,4	2992	132870	9046000				
2015-01-21	AMBRA	PLAMBRA00013	8,06	860	6980	9800000				
2015-01-21	AMICA	PLAMICA00010	99	13191	1299690	4659000				
2015-01-21	AMPLI	PLAMPLI00019	0,26	0	0	0				
2015-01-21	AMREST	NL0000474351	104,5	332	34380	14487000				
2015-01-21	APATOR	PLAPATR00018	35,48	765	26910	25382000				
2015-01-21	APLISENS	PLAPLS000016	12,3	1	10	5540000				
2015-01-21	ARCTIC	PLARTPR00012	4,88	194121	934490	22063000				
2015-01-21	ARCUS	PLARCUS00040	1,47	352	490	2520000				
2015-01-21	ARTERIA	PLARTER00016	14,55	5	70	3286000				
2015-01-21	ASBIS	CY1000031710	1,94	743472	1375550	32823000				
2015-01-21	ASSECOBS	PLABS0000018	12,95	1040	13860	17889000				
2015-01-21	ASSECOPOL	PLSOFTB00016	52,98	98115	5207410	74917000				
2015-01-21	ASSECOSEE	PLASSEE00014	8,3	1200	9960	16750000				
2015-01-21	ASSECOSLO	SK1120009230	15,56	133	2070	0				
2015-01-21	ASTARTA	NL0000686509	26	21878	569020	9253000				
2015-01-21	ATENDE	PLATMSI00016	2,42	1697	4100	24386000				
2015-01-21	ATLANTAPL	PLATLPL00018	6,79	1587	10560	2464000				
2015-01-21	ATLANTIS	PLATLNT00016	0,98	19808	18970	11698000				
2015-01-21	ATLASEST	GB00B0WDBP88	1,04	10	10	0				
2015-01-21	ATM	PLATMSA00013	10,85	916	9950	24981000				
2015-01-21	ATMGRUPA	PLATM0000021	3,13	2856	8880	39722000				
2015-01-21	ATREM	PLATREM00017	4,33	16	70	3999000				
2015-01-21	AVIAAML	LT0000128555	7,23	81	590	15327000				
2015-01-21	AVIASG	LT0000128381	20,7	0	0	2322000				
2015-01-21	AWBUD	PLINSTL00011	3	0	0	0				
2015-01-21	B3SYSTEM	PLBSSTM00013	2,48	3557	8780	0				
2015-01-21	BAKALLAND	PLBKLND00017	2,77	0	0	0				
2015-01-21	BALTONA	PLBALTN00014	7,19	1	10	2174000				
2015-01-21	BANKBPH	PLBPH0000019	43,5	24346	1057320	7788000				
2015-01-21	BBIDEV	PLNFI1200018	1,14	15297	17180	96494000				
2015-01-21	BEDZIN	PLECBDZ00013	12,3	60	740	0				
2015-01-21	BENEFIT	PLBNFTS00018	304,5	9298	2845390	1075000				
2015-01-21	BERLING	PLBRLNG00015	3,79	5130	19440	0				
2015-01-21	BEST	PLBEST000010	27,9	0	0	0				
2015-01-21	BETACOM	PLBTCOM00016	11	194	2110	911000				
2015-01-21	BGZ	PLBGZ0000010	79,95	0	0	0				
2015-01-21	BIOTON	PLBIOTN00029	4	54134	215930	67191000				
2015-01-21	BIPROMET	PLBPRMT00011	3,49	2513	8770	1797000				
2015-01-21	BLACKLION	PLNFI0400015	1,2	15438	18910	57095000				
2015-01-21	BMPAG	DE0003304200	2,81	58	160	2181000				
2015-01-21	BNPPL	PLPPAB000011	61	971	59230	4735000				
2015-01-21	BOGDANKA	PLLWBGD00016	99,4	33494	3312920	34013000				
2015-01-21	BORYSZEW	PLBRSZW00011	5,46	266996	1465440	95414000				
2015-01-21	BOS	PLBOS0000019	36,64	5286	190220	9289000				
2015-01-21	BOWIM	PLBOWM000019	1,52	0	0	5226000				
2015-01-21	BRIJU	PLBRIJU00010	15,25	78	1200	978000				
2015-01-21	BSCDRUK	PLBSCDO00017	25,7	105	2700	2468000				
2015-01-21	BUDIMEX	PLBUDMX00013	151,7	2907	438180	10451000				
2015-01-21	BUDOPOL	PLBDPWR00014	0,05	40768	2120	0				
2015-01-21	BUMECH	PLBMECH00012	1,24	1916752	1983870	6078000				
2015-01-21	BUWOG	AT00BUWOG001	73,36	0	0	6034000				
2015-01-21	BYTOM	PLBYTOM00010	1,69	470179	808200	50108000				
2015-01-21	BZWBK	PLBZ00000044	339	64174	21810080	28420000				
2015-01-21	CALATRAVA	PLBRSTM00015	1,06	23085	23910	0				
2015-01-21	CAMMEDIA	PLCAMMD00032	4,2	1114	4700	4262000				
2015-01-21	CAPITAL	PLCPTLP00015	2,49	30401	74680	14368000				
2015-01-21	CASHFLOW	PLCASHF00018	0,42	1049	440	0				
2015-01-21	CCC	PLCCC0000016	146	85610	12357490	22030000				
2015-01-21	CCENERGY	PLKAREN00014	0,06	13097	790	0				
2015-01-21	CDPROJEKT	PLOPTTC00011	16,04	77930	1246560	60952000				
2015-01-21	CDRL	PLCDRL000043	17,65	7037	121350	1050000				
2015-01-21	CELTIC	PLCELPD00013	5,19	0	0	4916000				
2015-01-21	CEZ	CZ0005112300	89,56	41034	3759570	22240000				
2015-01-21	CHEMOS	PLCHMDW00010	1,05	5951	6150	10109000				
2015-01-21	CIECH	PLCIECH00018	46,8	44783	2077850	25747000				
2015-01-21	CIGAMES	PLCTINT00018	8,02	14842	119410	7558000				
2015-01-21	CNT	PLERGPL00014	8,25	2706	22130	3648000				
2015-01-21	COALENERG	LU0646112838	0,7	2550	1770	11252000				
2015-01-21	COGNOR	PLCNTSL00014	1,37	2286	3090	22530000				
2015-01-21	COLIAN	PLJTRZN00011	3,56	16224	58220	48753000				
2015-01-21	COMARCH	PLCOMAR00012	103,2	344	35510	4610000				
2015-01-21	COMP	PLCMP0000017	53,49	730	39030	4122000				
2015-01-21	COMPERIA	PLCOMPR00010	20,52	0	0	1091000				
2015-01-21	CORMAY	PLCMRAY00029	3,11	109064	336460	20455000				
2015-01-21	CPGROUP	PLCPPRK00037	4,15	62251	249040	26984000				
2015-01-21	CUBEITG	PLMCINT00013	4,4	0	0	0				
2015-01-21	CYFRPLSAT	PLCFRPT00013	22,98	304471	6877610	214367000				
2015-01-21	CZTOREBKA	PLCRWTR00022	2,2	105215	235860	0				
2015-01-21	DEBICA	PLDEBCA00016	89,75	18	1600	2567000				
2015-01-21	DECORA	PLDECOR00013	6,25	3480	21940	8556000				
2015-01-21	DELKO	PLDELKO00019	4,89	0	0	2659000				
2015-01-21	DGA	PLDGA0000019	6,28	4981	31050	0				
2015-01-21	DMWDM	PLWDM0000029	0,72	20924	14920	8257000				
2015-01-21	DOMDEV	PLDMDVL00012	48,1	479	22930	7229000				
2015-01-21	DRAGOWSKI	PLADDRG00015	2,8	957	2730	0				
2015-01-21	DREWEX	PLDREWX00012	0,21	18222	3830	0				
2015-01-21	DROP	PLDROP000011	1,82	700	1270	0				
2015-01-21	DROZAPOL	PLDRZPL00032	3,35	2769	9270	3196000				
2015-01-21	DSS	PLDLSS000010	0,28	37863	10600	13003000				
2015-01-21	DTP	PLDTP0000010	3,97	6	20	0				
2015-01-21	DUDA	PLDUDA000016	7,25	26816	193120	17743000				
2015-01-21	DUON	PLCPENR00035	1,92	843176	1616080	45748000				
2015-01-21	ECARD	PLECARD00012	1,66	1028	1660	0				
2015-01-21	ECHO	PLECHPS00019	6,5	1007967	6458040	223328000				
2015-01-21	EDINVEST	PLEDINV00014	2,24	154	340	2588000				
2015-01-21	EFEKT	PLEFEKT00018	15	634	9510	1039000				
2015-01-21	EFH	PLEFH0000022	0,17	27427	4500	0				
