rok	wiek	m_miasto	k_miasto	m_wies	k_wies
2013	0	107301	101414	77659	73821
2013	1	116232	109575	83756	79140
2013	2	118851	111765	85217	80842
2013	3	124020	117326	89070	84228
2013	4	128663	122341	93529	89346
2013	5	126600	120860	94532	89883
2013	6	117425	111901	89763	84952
2013	7	110723	105277	86115	81502
2013	8	105477	100139	83808	79930
2013	9	101413	95721	82317	78133
2013	10	97795	93328	82287	77882
2013	11	97770	92796	84278	79898
2013	12	101009	95871	87285	83035
2013	13	103357	98104	90110	85688
2013	14	103084	97837	91843	87602
2013	15	106142	100361	94932	90046
2013	16	112637	109207	96272	89841
2013	17	117377	113591	100294	93236
2013	18	116961	112327	105850	101231
2013	19	126765	123202	109453	104584
2013	20	131951	127982	114662	108473
2013	21	136348	131586	119510	114238
2013	22	149281	145925	122419	114327
2013	23	155744	153242	121861	113641
2013	24	159656	157020	120233	112343
2013	25	166157	165846	121619	112752
2013	26	172847	171387	120907	111966
2013	27	183256	182586	122326	114340
2013	28	196448	195926	127057	118195
2013	29	206204	204568	127802	119129
2013	30	213424	212641	129563	121701
2013	31	206355	204888	126770	117920
2013	32	197559	197831	120275	112100
2013	33	201320	200817	122146	114999
2013	34	201051	198747	121295	113796
2013	35	193876	192437	118644	111750
2013	36	191127	190011	118955	111449
2013	37	189899	190531	120559	112408
2013	38	181596	181217	117931	111316
2013	39	172861	172625	116268	108813
2013	40	164151	164691	112784	106329
2013	41	157040	157292	109684	103541
2013	42	148202	150621	106886	100916
2013	43	143702	146153	104293	97048
2013	44	136281	139953	101461	95220
2013	45	133127	137428	100491	93603
2013	46	130531	136365	100464	92786
2013	47	131279	138640	100505	92172
2013	48	132373	140874	101816	92902
2013	49	135768	145872	103104	93468
2013	50	138126	150093	104375	95343
2013	51	139404	152678	104676	95115
2013	52	145101	161380	106424	96749
2013	53	153535	173999	110147	100185
2013	54	164806	188274	114751	104127
2013	55	173063	198393	113884	104602
2013	56	175948	205257	112769	103582
2013	57	175276	205163	108691	100517
2013	58	177426	209151	106557	99679
2013	59	169641	203529	99460	94242
2013	60	166682	202829	96792	93013
2013	61	162359	199578	92965	91272
2013	62	157801	196671	88171	89913
2013	63	149399	185902	82871	86026
2013	64	141053	178303	76515	82036
2013	65	134753	171606	73048	79292
2013	66	123760	160041	65256	73418
2013	67	110158	145058	56897	66750
2013	68	75728	101752	40666	49943
2013	69	72585	100086	39197	49664
2013	70	68894	95771	36857	48228
2013	71	65061	93190	35003	47271
2013	72	65918	98147	37413	50526
2013	73	65319	100502	37972	53905
2013	74	62510	99249	36622	54096
2013	75	59206	97116	35523	54009
2013	76	57252	95677	33826	53349
2013	77	54846	94502	32052	52783
2013	78	50509	89482	29998	51337
2013	79	45663	83343	27547	49334
2013	80	41794	77733	25184	46783
2013	81	39554	76120	23571	47423
2013	82	36390	71256	21848	45561
2013	83	33055	67757	20016	43759
2013	84	27164	58491	17083	38836
2013	85	22964	51449	14472	34734
2013	86	17695	43169	11466	29843
2013	87	14410	38901	9228	25714
2013	88	12483	35195	7691	22881
2013	89	9223	27302	5844	17984
2013	90	7545	22762	4920	14939
2013	91	5363	17865	3643	11622
2013	92	3688	12030	2446	7977
2013	93	2656	8742	1899	5745
2013	94	1681	5788	1224	4081
2013	95	855	3165	540	2039
2013	96	552	2363	435	1470
2013	97	439	1826	306	1119
2013	98	299	1419	210	777
2013	99	287	1317	185	655
2013	100	577	2289	267	1109
2014	0	106179	100125	79176	74610
2014	1	107395	101565	77966	74077
2014	2	116148	109551	84151	79475
2014	3	118604	111584	85667	81219
2014	4	123631	116994	89564	84655
2014	5	128165	121907	94049	89794
2014	6	126062	120372	95034	90329
2014	7	116894	111417	90217	85360
2014	8	110207	104806	86532	81879
2014	9	104980	99688	84187	80277
2014	10	100945	95295	82663	78455
2014	11	97362	92919	82597	78187
2014	12	97358	92414	84562	80184
2014	13	100604	95500	87560	83314
2014	14	102969	97760	90366	85949
2014	15	102728	97544	92062	87820
2014	16	105802	100116	95120	90225
2014	17	112290	108976	96445	90003
2014	18	117040	113423	100427	93331
2014	19	116664	112283	105917	101195
2014	20	126462	123190	109498	104505
2014	21	131681	128046	114658	108300
2014	22	136145	131781	119441	113920
2014	23	149131	146146	122299	113959
2014	24	155702	153577	121660	113141
2014	25	159746	157511	119927	111673
2014	26	166388	166458	121189	111936
2014	27	173132	172028	120426	111092
2014	28	183476	183105	121881	113557
2014	29	196519	196191	126705	117627
2014	30	206021	204480	127643	118877
2014	31	212981	212224	129592	121745
2014	32	205738	204262	126930	118166
2014	33	196791	197051	120553	112503
2014	34	200386	199934	122517	115481
2014	35	199996	197810	121726	114319
2014	36	192781	191515	119075	112258
2014	37	189989	189099	119375	111937
2014	38	188724	189625	120951	112875
2014	39	180442	180383	118266	111713
2014	40	171743	171853	116530	109150
2014	41	163071	163970	112977	106614
2014	42	155987	156615	109816	103783
2014	43	147192	149973	106941	101123
2014	44	142694	145513	104288	97238
2014	45	135299	139333	101386	95381
2014	46	132133	136809	100349	93744
2014	47	129514	135738	100252	92905
2014	48	130200	137984	100231	92275
2014	49	131222	140190	101465	92975
2014	50	134507	145142	102677	93514
2014	51	136758	149321	103864	95351
2014	52	137927	151866	104078	95085
2014	53	143454	160483	105730	96683
2014	54	151664	172985	109332	100075
2014	55	162653	187120	113797	103965
2014	56	170638	197109	112838	104396
2014	57	173312	203857	111607	103326
2014	58	172477	203685	107442	100215
2014	59	174409	207556	105199	99321
2014	60	166575	201881	98059	93848
2014	61	163485	201088	95282	92564
2014	62	159060	197760	91371	90764
2014	63	154395	194769	86520	89348
2014	64	145982	183993	81176	85415
2014	65	137632	176351	74819	81389
2014	66	131287	169607	71289	78599
2014	67	120383	158049	63563	72710
2014	68	106968	143122	55304	66035
2014	69	73414	100311	39439	49356
2014	70	70222	98554	37912	49010
2014	71	66495	94179	35547	47514
2014	72	62637	91496	33645	46485
2014	73	63286	96190	35827	49587
2014	74	62520	98299	36214	52770
2014	75	59626	96837	34766	52804
2014	76	56253	94481	33554	52541
2014	77	54160	92764	31774	51696
2014	78	51629	91256	29927	50916
2014	79	47286	86012	27822	49259
2014	80	42491	79678	25363	47050
2014	81	38626	73855	23005	44311
2014	82	36278	71816	21348	44570
2014	83	33102	66691	19606	42456
2014	84	29797	62857	17783	40390
2014	85	24245	53724	15014	35473
2014	86	20216	46542	12539	31256
2014	87	15395	38581	9808	26519
2014	88	12378	34308	7790	22538
2014	89	10572	30589	6396	19756
2014	90	7697	23356	4780	15274
2014	91	6196	19143	3959	12462
2014	92	4330	14748	2876	9512
2014	93	2924	9733	1895	6392
2014	94	2062	6921	1439	4501
2014	95	1278	4474	907	3119
2014	96	633	2386	390	1518
2014	97	400	1735	306	1064
2014	98	308	1300	210	785
2014	99	205	969	138	524
2014	100	546	2273	278	1095
2015	0	103739	97824	78307	73789
2015	1	106336	100335	79441	74829
2015	2	107376	101600	78317	74369
2015	3	115950	109408	84565	79825
2015	4	118269	111313	86119	81598
2015	5	123180	116597	90047	85074
2015	6	127630	121430	94552	90232
2015	7	125500	119864	95511	90755
2015	8	116362	110929	90644	85748
2015	9	109696	104340	86920	82235
2015	10	104501	99253	84537	80604
2015	11	100502	94888	82979	78757
2015	12	96960	92544	82874	78466
2015	13	96983	92066	84816	80442
2015	14	100237	95175	87800	83556
2015	15	102622	97470	90577	86164
2015	16	102408	97314	92237	87988
2015	17	105494	99944	95264	90334
2015	18	111977	108823	96565	90088
2015	19	116737	113330	100508	93352
2015	20	116407	112322	105939	101073
2015	21	126216	123256	109490	104335
2015	22	131497	128208	114594	108026
2015	23	136068	132125	119285	113446
2015	24	149149	146560	122060	113388
2015	25	155853	154133	121311	112409
2015	26	160020	158197	119480	110793
2015	27	166748	167171	120659	111005
2015	28	173437	172619	119933	110266
2015	29	183626	183448	121500	112942
2015	30	196448	196209	126471	117290
2015	31	205668	204153	127620	118853
2015	32	212372	211612	129740	121964
2015	33	204992	203525	127170	118515
2015	34	195934	196225	120875	112943
2015	35	199394	199041	122900	115963
2015	36	198906	196899	122149	114811
2015	37	191672	190628	119479	112722
2015	38	188848	188232	119753	112372
2015	39	187555	188764	121289	113284
2015	40	179298	179596	118544	112052
2015	41	170641	171120	116728	109436
2015	42	162005	163281	113108	106856
2015	43	154946	155956	109880	103991
2015	44	146189	149337	106929	101303
2015	45	141691	144884	104219	97402
2015	46	134316	138721	101250	95514
2015	47	131133	136195	100144	93854
2015	48	128484	135114	99976	92985
2015	49	129103	137331	99890	92334
2015	50	130041	139508	101048	93001
2015	51	133216	144416	102182	93512
2015	52	135354	148550	103279	95305
2015	53	136412	151049	103405	94995
2015	54	141763	159582	104960	96554
2015	55	149748	171965	108431	99899
2015	56	160450	185955	112748	103736
2015	57	168164	195811	111690	104117
2015	58	170633	202432	110343	102999
2015	59	169635	202180	106097	99843
2015	60	171355	205925	103743	98898
2015	61	163478	200197	96565	93394
2015	62	160262	199310	93680	92054
2015	63	155726	195900	89691	90200
2015	64	150965	192817	84791	88726
2015	65	142540	182034	79410	84747
2015	66	134183	174349	73055	80687
2015	67	127797	167549	69469	77853
2015	68	116981	155993	61812	71945
2015	69	103755	141117	53662	65264
2015	70	71078	98815	38172	48720
2015	71	67832	96958	36588	48308
2015	72	64068	92503	34193	46745
2015	73	60181	89709	32246	45636
2015	74	60611	94115	34194	48561
2015	75	59676	95951	34409	51529
2015	76	56687	94253	32865	51389
2015	77	53250	91653	31541	50934
2015	78	51016	89629	29686	49887
2015	79	48360	87761	27776	48888
2015	80	44022	82281	25633	47010
2015	81	39288	75754	23178	44594
2015	82	35442	69725	20845	41678
2015	83	33015	67270	19166	41565
2015	84	29852	61921	17426	39224
2015	85	26611	57795	15639	36934
2015	86	21353	48659	13014	31968
2015	87	17598	41656	10734	27823
2015	88	13231	34081	8287	23286
2015	89	10494	29877	6480	19499
2015	90	8835	26228	5240	16821
2015	91	6329	19692	3854	12778
2015	92	5005	15847	3130	10231
2015	93	3435	11970	2231	7648
2015	94	2269	7730	1439	5025
2015	95	1569	5373	1068	3457
2015	96	950	3387	657	2333
2015	97	462	1757	275	1103
2015	98	283	1239	211	750
2015	99	211	894	137	531
