ROK	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1945	3,2	4,2	4,1	3,9	3,9	4,0	4,0	4,2	4,4	4,1	4,0	3,8
1946	4,5	3,9	3,6	3,6	3,7	3,5	3,5	3,6	3,7	3,9	4,1	4,5
1947	5,0	5,9	6,2	6,7	6,9	6,9	6,6	6,8	7,0	7,1	6,7	6,3
1948	4,0	4,4	4,8	5,0	4,9	4,5	4,6	4,6	4,9	4,8	4,7	4,8
1949	6,6	5,3	5,7	6,0	6,3	7,1	7,2	7,7	7,8	7,6	8,9	7,4
1950	4,3	7,5	7,4	7,3	6,8	6,5	6,4	6,0	5,5	5,0	4,5	3,8
1951	3,5	4,7	4,4	4,4	4,1	4,0	4,2	4,1	4,1	4,3	4,5	4,5
1952	2,7	4,2	4,1	3,9	3,9	4,0	4,0	4,2	4,4	4,1	4,0	3,8
1953	3,5	3,6	3,5	3,6	3,5	3,2	3,3	3,5	3,7	3,8	4,0	4,5
1954	5,0	5,9	6,2	6,7	6,9	6,9	6,6	6,8	7,0	7,1	6,7	6,3
1955	4,2	5,9	5,7	5,6	5,7	5,3	5,2	5,0	5,2	5,1	5,3	5,2
1956	4,2	5,0	4,9	5,2	5,0	5,3	5,3	5,4	5,1	4,9	4,9	5,3
1957	5,2	5,2	4,9	4,7	4,9	5,1	5,3	5,2	5,1	5,4	5,5	6,1
1958	6,2	6,8	7,4	7,7	8,4	8,4	8,3	8,5	8,4	8,1	7,7	7,2
1959	5,3	7,0	6,9	6,6	6,2	6,1	6,0	6,1	6,2	6,5	6,7	6,8
1960	6,6	6,2	5,8	6,4	6,2	6,1	6,4	6,5	6,6	6,5	7,1	7,1
1961	6,0	7,6	7,9	7,9	8,0	8,1	7,9	8,0	7,6	7,7	7,5	7,1
1962	5,5	6,8	6,5	6,6	6,6	6,5	6,5	6,4	6,7	6,6	6,4	6,7
1963	5,5	6,7	6,9	6,7	6,7	6,9	6,6	6,6	6,4	6,5	6,5	6,7
1964	5,0	6,6	6,4	6,4	6,3	6,1	6,2	5,9	6,0	6,1	6,1	5,8
1965	4,0	5,9	6,1	5,7	5,8	5,6	5,6	5,4	5,4	5,3	5,2	5,1
