Nr_ankiety	pyt1	pyt2	pyt3	pyt4	pyt5	pyt6	Id_szkoly	Plec
a0001	1	2	2	3	3	4	S001	k
a0002	5	3	3	2	2	3	S001	k
a0003	5	3	5	5	1	4	S001	m
a0004	3	2	2	1	2	3	S001	k
a0005	2	3	2	2	2	5	S001	k
a0006	2	2	1	2	4	5	S001	m
a0007	1	3	3	1	5	5	S001	k
a0008	1	2	2	2	1	3	S001	m
a0009	1	3	2	4	3	4	S001	k
a0010	2	2	4	1	3	3	S001	m
a0011	4	2	2	3	3	1	S001	k
a0012	5	2	2	3	5	5	S001	k
a0013	3	1	2	2	2	4	S001	k
a0014	1	2	3	2	2	4	S001	k
a0015	5	2	4	5	2	4	S001	k
a0016	4	2	2	3	2	2	S001	m
a0017	4	3	4	1	2	2	S001	m
a0018	1	3	3	3	3	2	S001	k
a0019	3	2	2	4	4	4	S001	k
a0020	2	3	1	1	1	1	S001	m
a0021	1	3	1	3	2	2	S001	m
a0022	1	1	1	3	4	4	S001	k
a0023	4	1	3	2	2	5	S001	m
a0024	3	1	4	3	1	4	S001	k
a0025	2	3	1	3	3	2	S001	m
a0026	1	3	2	4	4	5	S001	k
a0027	2	2	1	5	1	4	S001	k
a0028	3	3	3	2	4	1	S001	k
a0029	3	1	1	3	3	2	S001	k
a0030	3	1	1	2	5	4	S001	m
a0031	5	2	4	3	5	3	S001	m
a0032	3	1	1	1	4	2	S001	m
a0033	2	2	3	2	3	3	S001	m
a0034	4	2	1	4	1	5	S001	m
a0035	4	3	5	4	4	1	S001	m
a0036	3	2	4	2	2	4	S001	m
a0037	4	2	1	3	1	5	S001	m
a0038	4	1	3	2	3	2	S001	m
a0039	1	2	4	4	4	3	S001	m
a0040	5	3	5	3	3	4	S001	m
a0041	3	4	1	1	5	5	S002	m
a0042	4	3	4	1	4	4	S002	m
a0043	2	4	3	2	5	5	S002	m
a0044	2	2	1	3	4	1	S002	k
a0045	5	1	1	3	5	2	S002	m
a0046	2	1	1	3	3	3	S002	m
a0047	3	1	2	1	2	5	S002	k
a0048	5	4	1	1	5	5	S002	m
a0049	2	2	3	3	5	4	S002	m
a0050	5	1	2	3	1	4	S002	m
a0051	2	1	4	4	4	5	S002	m
a0052	3	4	1	4	4	2	S002	m
a0053	5	4	1	2	2	4	S002	k
a0054	3	2	2	2	2	4	S002	m
a0055	3	4	1	3	4	3	S002	k
a0056	3	4	1	3	1	4	S002	k
a0057	5	2	1	4	5	2	S002	m
a0058	3	3	1	4	2	4	S002	m
a0059	4	1	2	3	2	4	S002	m
a0060	4	2	2	2	1	2	S002	m
