Id_szkoly	Rodzaj_szkoly	Kod_gminy
S001	LO	GM19
S002	SP	GM17
S003	LO	GM07
S004	T	GM19
S005	SP	GM10
S006	SP	GM02
S007	SP	GM10
S008	G	GM01
S009	T	GM19
S010	LO	GM11
S011	SP	GM18
S012	SP	GM08
S013	SZ	GM12
S014	SZ	GM10
S015	G	GM13
S016	SP	GM12
S017	G	GM19
S018	SP	GM01
S019	G	GM06
S020	LO	GM10
S021	SP	GM06
S022	G	GM09
S023	SP	GM15
S024	G	GM18
S025	SP	GM20
S026	G	GM01
S027	SP	GM09
S028	G	GM03
S029	SP	GM19
S030	SP	GM12
S031	LO	GM04
S032	T	GM11
S033	LO	GM14
S034	SP	GM03
S035	LO	GM09
S036	SP	GM17
S037	LO	GM18
S038	SP	GM15
S039	LO	GM12
S040	LO	GM13
S041	SP	GM11
S042	LO	GM02
S043	LO	GM16
S044	SP	GM05
S045	G	GM15
S046	T	GM20
S047	G	GM18
S048	G	GM11
S049	SP	GM03
S050	T	GM08
S051	SP	GM14
S052	SP	GM01
S053	SP	GM16
S054	G	GM12
S055	LO	GM03
S056	SP	GM13
S057	SP	GM03
S058	SP	GM04
S059	LO	GM12
S060	SP	GM18
S061	SP	GM08
S062	T	GM10
S063	G	GM05
S064	LO	GM15
S065	T	GM16
S066	SP	GM12
S067	SP	GM08
S068	LO	GM16
S069	SP	GM05
S070	SZ	GM16
S071	SP	GM06
S072	T	GM02
S073	T	GM18
S074	G	GM02
S075	G	GM11
S076	SP	GM01
S077	T	GM14
S078	G	GM08
S079	T	GM15
S080	LO	GM18
S081	G	GM14
S082	T	GM10
S083	G	GM14
S084	G	GM12
S085	SZ	GM07
S086	LO	GM01
S087	T	GM17
S088	G	GM16
S089	G	GM17
S090	LO	GM12
S091	T	GM09
S092	SP	GM04
S093	G	GM19
S094	G	GM20
S095	G	GM06
S096	LO	GM14
S097	SP	GM07
S098	SZ	GM15
S099	SP	GM14
S100	LO	GM02
S101	SP	GM09
S102	G	GM05
S103	SP	GM11
S104	LO	GM06
S105	SP	GM10
S106	G	GM09
S107	G	GM19
S108	G	GM08
S109	G	GM04
S110	SP	GM20
S111	SP	GM03
S112	LO	GM07
S113	SP	GM15
S114	SP	GM07
S115	G	GM13
S116	LO	GM14
S117	LO	GM05
S118	SP	GM20
S119	SP	GM16
S120	G	GM09
S121	SP	GM14
S122	SZ	GM05
S123	G	GM13
S124	SP	GM08
S125	SP	GM16
S126	SP	GM02
S127	SP	GM07
S128	SP	GM03
S129	LO	GM16
S130	T	GM03
